strategy,state_h1,trial,mean_on_fraction,mean_rising_edges_per_node,total_rising_edges,mean_on_duration_s
RR,0,0,0.0,0.0,0,0.0
RR,0,1,6.64451827242525e-05,0.02,1,1.0
RR,0,2,0.0,0.0,0,0.0
RR,0,3,0.0,0.0,0,0.0
RR,0,4,0.0,0.0,0,0.0
RR,0,5,6.64451827242525e-05,0.02,1,1.0
RR,0,6,6.64451827242525e-05,0.02,1,1.0
RR,0,7,0.0,0.0,0,0.0
RR,0,8,6.64451827242525e-05,0.02,1,1.0
RR,0,9,6.64451827242525e-05,0.02,1,1.0
RR,0,10,6.64451827242525e-05,0.02,1,1.0
RR,0,11,0.0,0.0,0,0.0
RR,0,12,0.0,0.0,0,0.0
RR,0,13,6.64451827242525e-05,0.02,1,1.0
RR,0,14,0.0,0.0,0,0.0
RR,0,15,0.0,0.0,0,0.0
RR,0,16,0.0,0.0,0,0.0
RR,0,17,6.64451827242525e-05,0.02,1,1.0
RR,0,18,6.64451827242525e-05,0.02,1,1.0
RR,0,19,0.00019933554817275749,0.04,2,1.5
RR,0,20,0.0,0.0,0,0.0
RR,0,21,0.0,0.0,0,0.0
RR,0,22,0.0,0.0,0,0.0
RR,0,23,0.0,0.0,0,0.0
RR,0,24,0.000132890365448505,0.02,1,2.0
RR,0,25,0.0,0.0,0,0.0
RR,0,26,0.0,0.0,0,0.0
RR,0,27,0.0,0.0,0,0.0
RR,0,28,6.64451827242525e-05,0.02,1,1.0
RR,0,29,0.0,0.0,0,0.0
RR,0,30,6.64451827242525e-05,0.02,1,1.0
RR,0,31,0.0,0.0,0,0.0
RR,0,32,0.0,0.0,0,0.0
RR,0,33,0.0,0.0,0,0.0
RR,0,34,0.0,0.0,0,0.0
RR,0,35,0.0,0.0,0,0.0
RR,0,36,0.0,0.0,0,0.0
RR,0,37,6.64451827242525e-05,0.02,1,1.0
RR,0,38,0.0,0.0,0,0.0
RR,0,39,0.0,0.0,0,0.0
RR,0,40,6.64451827242525e-05,0.02,1,1.0
RR,0,41,0.0,0.0,0,0.0
RR,0,42,0.0,0.0,0,0.0
RR,0,43,6.64451827242525e-05,0.02,1,1.0
RR,0,44,0.0,0.0,0,0.0
RR,0,45,0.000132890365448505,0.04,2,1.0
RR,0,46,0.000132890365448505,0.02,1,2.0
RR,0,47,0.00019933554817275749,0.06,3,1.0
RR,0,48,0.0,0.0,0,0.0
RR,0,49,6.64451827242525e-05,0.02,1,1.0
RR,0,50,0.0,0.0,0,0.0
RR,0,51,0.0,0.0,0,0.0
RR,0,52,6.64451827242525e-05,0.02,1,1.0
RR,0,53,0.0,0.0,0,0.0
RR,0,54,6.64451827242525e-05,0.02,1,1.0
RR,0,55,0.0,0.0,0,0.0
RR,0,56,0.0,0.0,0,0.0
RR,0,57,0.0,0.0,0,0.0
RR,0,58,0.0,0.0,0,0.0
RR,0,59,0.000132890365448505,0.02,1,2.0
RR,0,60,0.0,0.0,0,0.0
RR,0,61,0.0,0.0,0,0.0
RR,0,62,0.0,0.0,0,0.0
RR,0,63,0.0,0.0,0,0.0
RR,0,64,0.0,0.0,0,0.0
RR,0,65,0.0,0.0,0,0.0
RR,0,66,0.0,0.0,0,0.0
RR,0,67,6.64451827242525e-05,0.02,1,1.0
RR,0,68,0.0,0.0,0,0.0
RR,0,69,0.0,0.0,0,0.0
RR,0,70,0.0,0.0,0,0.0
RR,0,71,0.0,0.0,0,0.0
RR,0,72,0.0,0.0,0,0.0
RR,0,73,0.0,0.0,0,0.0
RR,0,74,0.0,0.0,0,0.0
RR,0,75,0.0,0.0,0,0.0
RR,0,76,0.0,0.0,0,0.0
RR,0,77,0.0,0.0,0,0.0
RR,0,78,6.64451827242525e-05,0.02,1,1.0
RR,0,79,0.0,0.0,0,0.0
RR,0,80,0.0,0.0,0,0.0
RR,0,81,0.0,0.0,0,0.0
RR,0,82,0.0,0.0,0,0.0
RR,0,83,0.0,0.0,0,0.0
RR,0,84,6.64451827242525e-05,0.02,1,1.0
