strategy,state_h1,trial,mean_on_fraction,mean_rising_edges_per_node,total_rising_edges,mean_on_duration_s
RR,0,0,0.01920265780730897,3.14,157,1.8407643312101911
RR,0,1,0.022325581395348838,3.66,183,1.8360655737704918
RR,0,2,0.021993355481727574,3.14,157,2.1082802547770703
RR,0,3,0.022192691029900333,3.72,186,1.7956989247311828
RR,0,4,0.018471760797342193,3.1,155,1.793548387096774
RR,0,5,0.018538205980066447,3.3,165,1.690909090909091
RR,0,6,0.018073089700996678,3.08,154,1.7662337662337662
RR,0,7,0.022325581395348838,3.14,157,2.140127388535032
RR,0,8,0.017807308970099668,2.88,144,1.8611111111111112
RR,0,9,0.023056478405315616,3.56,178,1.949438202247191
RR,0,10,0.019867109634551496,2.96,148,2.02027027027027
RR,0,11,0.018205980066445183,2.98,149,1.8389261744966443
RR,0,12,0.02345514950166113,3.96,198,1.7828282828282829
RR,0,13,0.019136212624584717,3.44,172,1.6744186046511629
RR,0,14,0.018870431893687707,3.04,152,1.868421052631579
RR,0,15,0.01707641196013289,3.0,150,1.7133333333333334
RR,0,16,0.01953488372093023,3.24,162,1.8148148148148149
RR,0,17,0.01953488372093023,3.1,155,1.896774193548387
RR,0,18,0.022458471760797342,3.5,175,1.9314285714285715
RR,0,19,0.017475083056478404,3.1,155,1.696774193548387
RR,0,20,0.020664451827242525,3.22,161,1.9316770186335404
RR,0,21,0.018338870431893688,3.04,152,1.8157894736842106
RR,0,22,0.016611295681063124,3.16,158,1.5822784810126582
RR,0,23,0.018073089700996678,3.1,155,1.7548387096774194
RR,0,24,0.019867109634551496,3.4,170,1.7588235294117647
RR,0,25,0.02106312292358804,3.6,180,1.761111111111111
RR,0,26,0.017209302325581394,2.94,147,1.7619047619047619
RR,0,27,0.020132890365448505,3.04,152,1.993421052631579
RR,0,28,0.02431893687707641,3.54,177,2.0677966101694913
RR,0,29,0.020132890365448505,3.16,158,1.9177215189873418
RR,0,30,0.020465116279069766,3.6,180,1.711111111111111
RR,0,31,0.017940199335548173,2.84,142,1.9014084507042253
RR,0,32,0.016943521594684385,2.8,140,1.8214285714285714
RR,0,33,0.020664451827242525,3.38,169,1.8402366863905326
RR,0,34,0.019667774086378736,3.0,150,1.9733333333333334
RR,0,35,0.01727574750830565,2.92,146,1.7808219178082192
RR,0,36,0.01973421926910299,3.24,162,1.8333333333333333
RR,0,37,0.019003322259136212,3.18,159,1.79874213836478
RR,0,38,0.019069767441860466,3.22,161,1.7826086956521738
RR,0,39,0.015282392026578074,2.92,146,1.5753424657534247
RR,0,40,0.019867109634551496,3.2,160,1.86875
RR,0,41,0.01707641196013289,2.96,148,1.7364864864864864
RR,0,42,0.017408637873754153,2.84,142,1.8450704225352113
RR,0,43,0.023122923588039867,3.66,183,1.901639344262295
RR,0,44,0.02857142857142857,4.22,211,2.037914691943128
RR,0,45,0.021926910299003323,3.74,187,1.7647058823529411
RR,0,46,0.019269102990033222,3.34,167,1.7365269461077844
RR,0,47,0.017142857142857144,2.8,140,1.8428571428571427
RR,0,48,0.018006644518272424,3.32,166,1.6325301204819278
RR,0,49,0.02106312292358804,3.36,168,1.8869047619047619
RR,0,50,0.020465116279069766,3.4,170,1.811764705882353
RR,0,51,0.017807308970099668,2.8,140,1.9142857142857144
RR,0,52,0.022657807308970098,3.78,189,1.8042328042328042
RR,0,53,0.01581395348837209,2.78,139,1.7122302158273381
RR,0,54,0.02292358803986711,3.48,174,1.9827586206896552
RR,0,55,0.020863787375415284,3.6,180,1.7444444444444445
RR,0,56,0.018538205980066447,3.0,150,1.86
RR,0,57,0.019003322259136212,3.24,162,1.7654320987654322
RR,0,58,0.022192691029900333,3.36,168,1.9880952380952381
RR,0,59,0.020398671096345515,3.18,159,1.930817610062893
RR,0,60,0.02132890365448505,3.14,157,2.0445859872611467
RR,0,61,0.021395348837209303,3.32,166,1.9397590361445782
RR,0,62,0.02352159468438538,3.68,184,1.923913043478261
RR,0,63,0.014817275747508305,2.56,128,1.7421875
RR,0,64,0.018272425249169437,2.84,142,1.9366197183098592
RR,0,65,0.022724252491694352,3.68,184,1.858695652173913
RR,0,66,0.020132890365448505,3.36,168,1.8035714285714286
RR,0,67,0.018338870431893688,3.22,161,1.7142857142857142
RR,0,68,0.021794019933554818,3.54,177,1.8531073446327684
RR,0,69,0.015348837209302326,2.68,134,1.7238805970149254
RR,0,70,0.021727574750830564,3.6,180,1.8166666666666667
RR,0,71,0.019867109634551496,3.28,164,1.8231707317073171
RR,0,72,0.017940199335548173,3.0,150,1.8
RR,0,73,0.019933554817275746,3.2,160,1.875
RR,0,74,0.026445182724252492,4.06,203,1.9605911330049262
RR,0,75,0.02006644518272425,3.38,169,1.78698224852071
