strategy,n_H0,n_H1,n_detected_H1,P_D,P_pre_onset_alarm,P_FA,P_D_ci_low,P_D_ci_high,P_pre_onset_alarm_ci_low,P_pre_onset_alarm_ci_high,P_FA_ci_low,P_FA_ci_high,C_total_molecules_avg,C_total_molecules_avg_ci_low,C_total_molecules_avg_ci_high,C_H0_molecules_avg,C_H0_molecules_avg_ci_low,C_H0_molecules_avg_ci_high,C_H1_molecules_avg,C_H1_molecules_avg_ci_low,C_H1_molecules_avg_ci_high,R_H1_molecules_per_s,R_H1_molecules_per_s_ci_low,R_H1_molecules_per_s_ci_high,D_avg_after_onset,D_avg_after_onset_ci_low,D_avg_after_onset_ci_high,a1,a2
EIR,1000,1000,321,0.321,0.0,0.071,0.2927964857623614,0.3505734937754673,2.168404344971009e-19,0.0038267584855551234,0.056669695350451466,0.08861366343015481,13119.75,13047.37664187019,13192.12335812981,12379.6,12310.139257436587,12449.060742563413,13859.9,13750.701928418417,13969.098071581582,60.9491583896006,60.301530103413405,61.59678667578779,209.6355140186916,204.98689699336705,214.28413104401614,0.03,0.012
RR,1000,1000,223,0.223,0.0,0.066,0.19828813022889644,0.24983189397210112,2.168404344971009e-19,0.0038267584855551234,0.05221235045948584,0.08310927590597601,13385.85,13320.000846069759,13451.699153930242,12715.6,12649.974922525815,12781.225077474186,14056.1,13958.163369849775,14154.036630150225,60.77838694922757,59.92026416180457,61.63650973665057,210.95515695067266,205.3131076332996,216.5972062680457,0.03,0.012
TR,1000,1000,170,0.17,0.0,0.05,0.1479915956385524,0.19453406496191405,2.168404344971009e-19,0.0038267584855551234,0.03813026239274882,0.06531382024425081,12074.2,12014.600188637889,12133.799811362112,11532.1,11467.451260826749,11596.748739173252,12616.3,12528.117550574761,12704.482449425237,55.616527750805794,54.58590953794525,56.64714596366634,206.58823529411765,199.37946165110046,213.79700893713485,0.03,0.012
EIR,1000,1000,824,0.824,0.0,0.071,0.7991696851594058,0.8463505753419543,2.168404344971009e-19,0.0038267584855551234,0.056669695350451466,0.08861366343015481,13122.45,13029.85126250263,13215.04873749737,12379.6,12310.139257436587,12449.060742563413,13865.3,13706.408220239391,14024.191779760607,70.38453983942475,69.86601754120417,70.90306213764532,192.1614077669903,189.19709516989826,195.12572036408233,0.06,0.024
RR,1000,1000,700,0.7,0.0,0.066,0.6708761390827828,0.7275931575229951,2.168404344971009e-19,0.0038267584855551234,0.05221235045948584,0.08310927590597601,13397.65,13306.625905666142,13488.674094333857,12715.6,12649.974922525815,12781.225077474186,14079.7,13920.722427454855,14238.677572545146,69.40114426423085,68.80884968257317,69.99343884588853,193.61857142857144,190.2002844605966,197.03685839654628,0.06,0.024
TR,1000,1000,511,0.511,0.0,0.05,0.4800349634365892,0.5418808478767286,2.168404344971009e-19,0.0038267584855551234,0.03813026239274882,0.06531382024425081,12357.05,12275.734148506235,12438.365851493763,11532.1,11467.451260826749,11596.748739173252,13182.0,13051.42793817528,13312.57206182472,60.77102427094983,60.17365668143734,61.36839186046232,202.45205479452054,198.3737256024333,206.53038398660777,0.06,0.024
EIR,1000,1000,1000,1.0,0.0,0.071,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.056669695350451466,0.08861366343015481,12451.2,12376.212326520797,12526.187673479204,12379.6,12310.139257436587,12449.060742563413,12522.8,12389.985689275916,12655.614310724082,88.94263180906756,88.29572646847801,89.58953714965712,143.537,141.44977665748027,145.62422334251974,0.1,0.04000000000000001
RR,1000,1000,994,0.994,0.0,0.066,0.9869718317581478,0.9972473308581237,2.168404344971009e-19,0.0038267584855551234,0.05221235045948584,0.08310927590597601,12427.7,12346.8825188156,12508.5174811844,12715.6,12649.974922525815,12781.225077474186,12139.8,11994.215524988142,12285.384475011857,84.9676664538703,84.30003736612139,85.6352955416192,146.1871227364185,143.7538583197326,148.62038715310442,0.1,0.04000000000000001
TR,1000,1000,924,0.924,0.0,0.05,0.9059043568759517,0.9388505519282977,2.168404344971009e-19,0.0038267584855551234,0.03813026239274882,0.06531382024425081,11916.1,11826.848822146558,12005.351177853443,11532.1,11467.451260826749,11596.748739173252,12300.1,12137.110574946879,12463.089425053122,70.65842133209742,70.07309316001647,71.24374950417837,174.18722943722943,171.11682254488667,177.2576363295722,0.1,0.04000000000000001
EIR,1000,1000,1000,1.0,0.0,0.071,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.056669695350451466,0.08861366343015481,12195.95,12135.010320753783,12256.889679246218,12379.6,12310.139257436587,12449.060742563413,12012.3,11913.417067356659,12111.18293264334,116.00590577020871,115.16669082543541,116.84512071498202,105.002,103.82905998635351,106.17494001364648,0.15,0.06
RR,1000,1000,1000,1.0,0.0,0.066,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.05221235045948584,0.08310927590597601,11746.8,11672.166540596016,11821.433459403983,12715.6,12649.974922525815,12781.225077474186,10778.0,10674.236263201641,10881.763736798359,110.48852667062911,109.56707680136708,111.40997653989115,99.932,98.48227505912061,101.3817249408794,0.15,0.06
