strategy,n_H0,n_H1,n_detected_H1,P_D,P_pre_onset_alarm,P_FA,P_D_ci_low,P_D_ci_high,P_pre_onset_alarm_ci_low,P_pre_onset_alarm_ci_high,P_FA_ci_low,P_FA_ci_high,C_total_molecules_avg,C_total_molecules_avg_ci_low,C_total_molecules_avg_ci_high,C_H0_molecules_avg,C_H0_molecules_avg_ci_low,C_H0_molecules_avg_ci_high,C_H1_molecules_avg,C_H1_molecules_avg_ci_low,C_H1_molecules_avg_ci_high,R_H1_molecules_per_s,R_H1_molecules_per_s_ci_low,R_H1_molecules_per_s_ci_high,D_avg_after_onset,D_avg_after_onset_ci_low,D_avg_after_onset_ci_high,inference_delay
EIR,500,500,500,1.0,0.0,0.064,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.04569601604478943,0.08895240883768415,11072.2,10966.05894926472,11178.341050735282,12369.2,12277.754363989217,12460.645636010784,9775.2,9671.054941746906,9879.345058253095,189.19894104465126,186.9535147636887,191.44436732561383,52.592,51.77195428620261,53.41204571379739,0.0
RR,500,500,500,1.0,0.0,0.026,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.01525638392332725,0.043971490834224275,11521.5,11417.57681744598,11625.42318255402,12714.8,12618.994428688009,12810.60557131199,10328.2,10218.016370481193,10438.383629518808,183.92099735117728,181.97497814117614,185.86701656117842,56.938,56.10087471133134,57.77512528866866,0.0
TR,500,500,500,1.0,0.0,0.024,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.013781314655496986,0.041477057463900756,10505.3,10410.099377898661,10600.500622101337,11524.4,11434.021600516811,11614.778399483188,9486.2,9376.062325287801,9596.3376747122,150.8432786442742,149.08660761596707,152.59994967258132,64.04,62.95935613443273,65.12064386556727,0.0
EIR,500,500,500,1.0,0.0,0.044,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.02923395562860718,0.06571944287232845,11826.8,11745.35958537441,11908.240414625589,12354.6,12254.21378390505,12454.98621609495,11299.0,11188.59043090331,11409.40956909669,182.75161312995024,181.01597196826944,184.48725429163105,62.424,61.66374270157492,63.18425729842508,10.0
RR,500,500,500,1.0,0.0,0.044,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.02923395562860718,0.06571944287232845,11510.0,11411.085159721333,11608.914840278667,12622.0,12527.540361115658,12716.459638884342,10398.0,10292.101154384934,10503.898845615066,184.85767397557572,182.79701262064484,186.9183353305066,57.094,56.274632224401216,57.913367775598786,10.0
TR,500,500,500,1.0,0.0,0.052,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.035730265115705276,0.07510114393784553,10509.6,10416.486551650709,10602.713448349292,11469.6,11375.292076592972,11563.907923407029,9549.6,9441.749688311647,9657.450311688353,151.74688124839187,149.8935366529047,153.60022584387906,64.196,63.11645666989759,65.27554333010241,10.0
EIR,500,500,500,1.0,0.0,0.046,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.030845108370816204,0.06807779276827323,13247.0,13148.385906058364,13345.614093941636,12324.4,12232.21345646442,12416.586543535579,14169.6,14037.940939353479,14301.259060646522,173.20998676700805,171.74771776095145,174.67225577306465,82.248,81.42744300561124,83.06855699438877,30.0
RR,500,500,500,1.0,0.0,0.04,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.026040797389777257,0.060973595834850805,11561.1,11461.834414913805,11660.365585086196,12663.0,12566.46159346337,12759.53840653663,10459.2,10352.24149784243,10566.158502157572,184.95051956332486,182.91693681282462,186.9841023138251,57.424,56.573979583456506,58.27402041654349,30.0
TR,500,500,500,1.0,0.0,0.048,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.03246520694135317,0.07042719683589006,10465.9,10372.018716348415,10559.781283651584,11482.6,11392.941991359881,11572.25800864012,9449.2,9342.727568353637,9555.672431646364,152.40270247969133,150.64538764264765,154.160017316735,63.168,62.11036389421728,64.22563610578271,30.0
EIR,500,500,500,1.0,0.0,0.052,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.035730265115705276,0.07510114393784553,15210.9,15007.504644719365,15414.295355280634,12250.2,12156.469162474697,12343.930837525304,18171.6,18023.626655066764,18319.573344933233,165.8338606749525,164.53340949846296,167.13431185144202,109.87,109.12435884990171,110.6156411500983,60.0
