strategy,n_H0,n_H1,n_detected_H1,P_D,P_pre_onset_alarm,P_FA,P_D_ci_low,P_D_ci_high,P_pre_onset_alarm_ci_low,P_pre_onset_alarm_ci_high,P_FA_ci_low,P_FA_ci_high,C_total_molecules_avg,C_total_molecules_avg_ci_low,C_total_molecules_avg_ci_high,C_H0_molecules_avg,C_H0_molecules_avg_ci_low,C_H0_molecules_avg_ci_high,C_H1_molecules_avg,C_H1_molecules_avg_ci_low,C_H1_molecules_avg_ci_high,R_H1_molecules_per_s,R_H1_molecules_per_s_ci_low,R_H1_molecules_per_s_ci_high,D_avg_after_onset,D_avg_after_onset_ci_low,D_avg_after_onset_ci_high,num_nodes
EIR,500,500,500,1.0,0.0,0.058,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.0406837291117572,0.08205618785625499,5495.4,5435.480420555626,5555.319579444374,4936.0,4878.236394121131,4993.763605878869,6054.8,5975.925806977574,6133.674193022426,70.13571589726016,69.18232638124569,71.08910541327462,87.886,86.4527966150578,89.31920338494218,20
RR,500,500,500,1.0,0.0,0.052,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.035730265115705276,0.07510114393784553,5102.9,5055.2614892925985,5150.538510707401,5071.8,5014.4617166625,5129.1382833375,5134.0,5057.945833755735,5210.054166244265,72.60804492534967,71.52697057819991,73.68911927249944,72.64,71.16239315465175,74.11760684534825,20
TR,500,500,500,1.0,0.0,0.068,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.04906650742490687,0.0935209227338743,4697.0,4649.38452341582,4744.61547658418,4598.8,4544.870304603064,4652.729695396936,4795.2,4717.604019948156,4872.795980051844,59.390308913949895,58.46104928850753,60.31956853939226,83.562,81.57505296969413,85.54894703030587,20
EIR,500,500,500,1.0,0.0,0.066,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.04737852635977387,0.09123940116085351,10127.7,10059.473700305894,10195.926299694107,9902.0,9819.10743946825,9984.89256053175,10353.4,10248.602671258986,10458.197328741013,141.85417315932398,140.41021590978903,143.29813040885892,73.69,72.79047887750001,74.58952112249999,40
RR,500,500,500,1.0,0.0,0.048,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.03246520694135317,0.07042719683589006,9368.5,9288.403683955932,9448.596316044068,10102.8,10012.967219078466,10192.632780921533,8634.2,8537.682354534052,8730.71764546595,147.6615784184463,145.81597317667467,149.50718366021795,59.614,58.646401985657725,60.58159801434227,40
TR,500,500,500,1.0,0.0,0.058,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.0406837291117572,0.08205618785625499,8505.3,8428.803501677541,8581.796498322457,9205.0,9122.59743555522,9287.40256444478,7805.6,7710.194311628565,7901.005688371436,120.52734741715403,118.9621474047434,122.09254742956466,66.3,65.07282453002357,67.52717546997643,40
EIR,500,500,500,1.0,0.0,0.062,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.044019209142681565,0.08665971310163822,14742.3,14662.002230537953,14822.597769462045,14803.4,14699.385732151024,14907.414267848975,14681.2,14558.969386114295,14803.430613885706,212.37845490313524,210.66891246948393,214.08799733678654,69.544,68.85809922411768,70.22990077588231,60
RR,500,500,500,1.0,0.0,0.064,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.04569601604478943,0.08895240883768415,13651.8,13527.04204177223,13776.557958227768,15219.8,15111.888029662456,15327.711970337543,12083.8,11970.569872675942,12197.030127324057,222.6319359217845,220.48572155442812,224.77815028914088,54.926,54.196371421673504,55.6556285783265,60
TR,500,500,500,1.0,0.0,0.066,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.04737852635977387,0.09123940116085351,12307.4,12187.243119537326,12427.556880462673,13803.0,13701.018632449064,13904.981367550936,10811.8,10697.91894800973,10925.681051990268,183.23995358472,181.32775096634228,185.15215620309775,59.952,59.011135069411395,60.8928649305886,60
EIR,500,500,500,1.0,0.0,0.042,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.027632310108451703,0.06335158575433016,24022.8,23912.591415778683,24133.008584221316,24685.0,24555.631933108467,24814.368066891533,23360.6,23202.029022887487,23519.17097711251,359.3653839805096,357.04264401140625,361.68812394961293,65.242,64.73408114234203,65.74991885765797,100
RR,500,500,500,1.0,0.0,0.05,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.034093745243849435,0.0727681611715476,22131.8,21909.69335130149,22353.90664869851,25353.8,25219.395390198588,25488.20460980141,18909.8,18769.722157965338,19049.87784203466,376.71005770588584,373.9513664046468,379.46874900712487,50.526,50.01522542492073,51.03677457507928,100
TR,500,500,500,1.0,0.0,0.032,0.9923756595384479,1.0,4.336808689942018e-19,0.007624340461552241,0.019791513626571118,0.051344869045441784,20019.4,19812.67193387956,20226.128066120444,22986.0,22855.31964453475,23116.68035546525,17052.8,16916.64362603535,17188.956373964647,305.98236632390575,303.42815194967613,308.53658069813537,56.258,55.59849229390273,56.917507706097275,100
