strategy,n_H0,n_H1,n_detected_H1,P_D,P_pre_onset_alarm,P_FA,P_D_ci_low,P_D_ci_high,P_pre_onset_alarm_ci_low,P_pre_onset_alarm_ci_high,P_FA_ci_low,P_FA_ci_high,C_total_molecules_avg,C_total_molecules_avg_ci_low,C_total_molecules_avg_ci_high,C_H0_molecules_avg,C_H0_molecules_avg_ci_low,C_H0_molecules_avg_ci_high,C_H1_molecules_avg,C_H1_molecules_avg_ci_low,C_H1_molecules_avg_ci_high,R_H1_molecules_per_s,R_H1_molecules_per_s_ci_low,R_H1_molecules_per_s_ci_high,D_avg_after_onset,D_avg_after_onset_ci_low,D_avg_after_onset_ci_high,sigma1
EIR,1000,1000,1000,1.0,0.0,0.063,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.049549663211729086,0.0797949237046461,11853.15,11802.261389090423,11904.038610909576,11876.3,11810.374091628591,11942.225908371407,11830.0,11752.453624181675,11907.546375818325,190.67409122112852,189.5473667590851,191.80081568317195,62.458,61.97667600267194,62.93932399732806,0.08
RR,1000,1000,1000,1.0,0.0,0.049,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.037261034647360615,0.06419070150661013,11119.95,11038.610322247418,11201.289677752584,12589.7,12522.951680123622,12656.44831987638,9650.2,9576.650718678558,9723.749281321443,223.2452626052537,221.59909179355802,224.8914334169494,43.826,43.36709819743665,44.284901802563354,0.08
TR,1000,1000,1000,1.0,0.0,0.046,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.03466249276326498,0.06081220394161907,10132.65,10057.254427655967,10208.045572344032,11488.4,11423.370347712118,11553.429652287881,8776.9,8710.6828609354,8843.1171390646,219.79160096848545,218.06437350989228,221.51882842707863,40.606,40.15817087060112,41.053829129398885,0.08
EIR,1000,1000,1000,1.0,0.0,0.059,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.04601429821280047,0.07536090277145915,12316.05,12262.55712314975,12369.542876850248,12230.3,12163.54223291577,12297.057767084229,12401.8,12318.502153628557,12485.097846371442,183.15884088264394,182.02636218762007,184.29131957766782,68.16,67.63961241770397,68.68038758229602,0.12
RR,1000,1000,1000,1.0,0.0,0.055,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.04249742737476844,0.07090838767737563,11428.9,11354.47378049773,11503.326219502269,12628.3,12558.342102643499,12698.2578973565,10229.5,10150.692470938675,10308.307529061325,203.01737552537793,201.49964094828817,204.53511010246768,51.043,50.53012710219864,51.55587289780136,0.12
TR,1000,1000,1000,1.0,0.0,0.062,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.04866418011998064,0.07868806031336564,10416.25,10350.273785853797,10482.226214146203,11413.8,11346.907075419038,11480.69292458096,9418.7,9345.950264761444,9491.449735238557,186.05900300746146,184.62276852786002,187.4952374870629,51.348,50.816700150021475,51.87929984997852,0.12
EIR,1000,1000,1000,1.0,0.0,0.05,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.03813026239274882,0.06531382024425081,12564.7,12510.357145851482,12619.04285414852,12368.6,12300.933653005543,12436.266346994458,12760.8,12677.469231846904,12844.130768153094,177.4903153582739,176.34484982691345,178.63578088963436,72.427,71.87637360286259,72.97762639713743,0.16
RR,1000,1000,1000,1.0,0.0,0.046,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.03466249276326498,0.06081220394161907,11513.3,11441.596766204992,11585.003233795007,12647.9,12580.010644676673,12715.789355323326,10378.7,10300.812315413108,10456.587684586893,185.89574038848846,184.45836207581593,187.333118701161,56.645,56.05838911986453,57.23161088013548,0.16
TR,1000,1000,1000,1.0,0.0,0.057,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.04425344035871594,0.07313706765948591,10441.45,10373.012079849494,10509.887920150508,11505.9,11440.370544589818,11571.429455410182,9377.0,9301.261039842973,9452.738960157027,151.69866112821498,150.4245547754431,152.97276748098685,62.958,62.22400334659914,63.69199665340086,0.16
EIR,1000,1000,1000,1.0,0.0,0.044,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.0329382145884185,0.058551789150407776,12602.2,12545.303662369342,12659.096337630659,12430.3,12362.791878754162,12497.808121245836,12774.1,12683.70833610402,12864.49166389598,171.1450924300942,170.01746299870075,172.27272186148764,75.194,74.59520709965355,75.79279290034646,0.2
RR,1000,1000,1000,1.0,0.0,0.036,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.02611557140738732,0.049435660467207834,11580.3,11511.449783406126,11649.150216593873,12601.3,12535.003585548346,12667.596414451653,10559.3,10478.314324899817,10640.285675100182,174.30652429624817,172.96531972708334,175.647728865413,61.428,60.791925588814394,62.0640744111856,0.2
TR,1000,1000,1000,1.0,0.0,0.046,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.03466249276326498,0.06081220394161907,10593.9,10527.213389026541,10660.586610973458,11506.4,11441.860217317711,11570.939782682288,9681.4,9596.38057357439,9766.41942642561,126.90341108141001,125.83502233433234,127.97179982848769,77.935,76.91354397053884,78.95645602946117,0.2
