strategy,state_h1,trial_index,scenario_seed,seed_phase,seed_namespace,max_gateway_evidence,transmissions,gateway_threshold,a1,a2,sweep_scope,eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2
EIR,0,0,6942901201456939297,gateway_calibration,sweep:anomaly_pair:shared_scenarios,544.0881150252125,117,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,1,3707311459125033713,gateway_calibration,sweep:anomaly_pair:shared_scenarios,539.9506786350748,124,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,2,6525899029649517457,gateway_calibration,sweep:anomaly_pair:shared_scenarios,675.8917717309994,136,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,3,7579878600958796329,gateway_calibration,sweep:anomaly_pair:shared_scenarios,706.4813178483262,125,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,4,1995048182365014103,gateway_calibration,sweep:anomaly_pair:shared_scenarios,666.4954358751809,135,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,5,3295882431625053650,gateway_calibration,sweep:anomaly_pair:shared_scenarios,655.4496651108014,144,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,6,5854776044075552459,gateway_calibration,sweep:anomaly_pair:shared_scenarios,602.7227600200526,122,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,7,7709607086058877159,gateway_calibration,sweep:anomaly_pair:shared_scenarios,678.4427553484855,128,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,8,1741592563361101750,gateway_calibration,sweep:anomaly_pair:shared_scenarios,477.4450071055276,107,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,9,3282932482964655802,gateway_calibration,sweep:anomaly_pair:shared_scenarios,552.2080713074137,114,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,10,1774785994864530756,gateway_calibration,sweep:anomaly_pair:shared_scenarios,667.9344334445335,130,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,11,8140464769652066346,gateway_calibration,sweep:anomaly_pair:shared_scenarios,630.7648733039821,133,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,12,1253555579543505935,gateway_calibration,sweep:anomaly_pair:shared_scenarios,596.8459977604016,128,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,13,7889622116667546826,gateway_calibration,sweep:anomaly_pair:shared_scenarios,652.8938623373024,125,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,14,2999731371178102042,gateway_calibration,sweep:anomaly_pair:shared_scenarios,772.5373390010398,136,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,15,3149132606532110017,gateway_calibration,sweep:anomaly_pair:shared_scenarios,629.2599205777765,128,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,16,5945166213153900620,gateway_calibration,sweep:anomaly_pair:shared_scenarios,542.3608283298145,103,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,17,8780635847486979818,gateway_calibration,sweep:anomaly_pair:shared_scenarios,559.1269048133365,110,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,18,977807179708126678,gateway_calibration,sweep:anomaly_pair:shared_scenarios,590.2785227612293,122,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,19,4758583958882270302,gateway_calibration,sweep:anomaly_pair:shared_scenarios,669.6052261323708,122,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,20,624488504525834361,gateway_calibration,sweep:anomaly_pair:shared_scenarios,538.5506609509739,111,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,21,9127488914970490212,gateway_calibration,sweep:anomaly_pair:shared_scenarios,497.44303681897924,112,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,22,3878214634024289995,gateway_calibration,sweep:anomaly_pair:shared_scenarios,736.8014611542354,127,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,23,3074434249601971096,gateway_calibration,sweep:anomaly_pair:shared_scenarios,513.0448700081839,111,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,24,3240386866293341253,gateway_calibration,sweep:anomaly_pair:shared_scenarios,608.527697368969,117,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,25,6243332140314349343,gateway_calibration,sweep:anomaly_pair:shared_scenarios,751.7185926293007,116,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,26,3868622807354924164,gateway_calibration,sweep:anomaly_pair:shared_scenarios,556.9757313080981,122,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,27,1718082128973198771,gateway_calibration,sweep:anomaly_pair:shared_scenarios,625.7294090037489,115,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,28,2704479796120479431,gateway_calibration,sweep:anomaly_pair:shared_scenarios,573.7664725546563,126,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,29,3697228631517816840,gateway_calibration,sweep:anomaly_pair:shared_scenarios,710.0615026817687,119,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,30,8820983848116756903,gateway_calibration,sweep:anomaly_pair:shared_scenarios,797.7186764633966,128,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,31,7643153808516479349,gateway_calibration,sweep:anomaly_pair:shared_scenarios,572.2853056629127,105,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,32,3795846149567597038,gateway_calibration,sweep:anomaly_pair:shared_scenarios,662.2723022247775,118,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,33,8760001566670653492,gateway_calibration,sweep:anomaly_pair:shared_scenarios,574.8016226615683,110,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,34,2744726624485914817,gateway_calibration,sweep:anomaly_pair:shared_scenarios,709.4733462285025,124,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,35,7310029771266914304,gateway_calibration,sweep:anomaly_pair:shared_scenarios,562.766132085042,117,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,36,8860427485777938866,gateway_calibration,sweep:anomaly_pair:shared_scenarios,696.4353986551173,135,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,37,8598656038562839224,gateway_calibration,sweep:anomaly_pair:shared_scenarios,595.7986156267539,126,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,38,8997019032754762713,gateway_calibration,sweep:anomaly_pair:shared_scenarios,661.337599905747,111,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,39,4208817818748932462,gateway_calibration,sweep:anomaly_pair:shared_scenarios,610.7365528893635,120,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,40,6068242829919299090,gateway_calibration,sweep:anomaly_pair:shared_scenarios,694.5933504525652,111,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,41,4049042354117377146,gateway_calibration,sweep:anomaly_pair:shared_scenarios,519.1193872613726,130,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,42,5126773472074832949,gateway_calibration,sweep:anomaly_pair:shared_scenarios,563.7637422634359,117,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,43,6183996202129912428,gateway_calibration,sweep:anomaly_pair:shared_scenarios,578.2503348037212,115,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,44,5034920799087487164,gateway_calibration,sweep:anomaly_pair:shared_scenarios,647.2868131278489,138,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,45,5099780515566784822,gateway_calibration,sweep:anomaly_pair:shared_scenarios,679.0739371365684,115,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,46,3743304880928594782,gateway_calibration,sweep:anomaly_pair:shared_scenarios,662.0619109510093,121,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,47,7315397891830491094,gateway_calibration,sweep:anomaly_pair:shared_scenarios,620.6588888145309,113,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,48,2190007532852709612,gateway_calibration,sweep:anomaly_pair:shared_scenarios,756.7387421268675,113,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,49,120834209760926409,gateway_calibration,sweep:anomaly_pair:shared_scenarios,645.273927102963,123,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,50,3276339480421714797,gateway_calibration,sweep:anomaly_pair:shared_scenarios,863.2842925621209,147,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,51,7889239287137057542,gateway_calibration,sweep:anomaly_pair:shared_scenarios,676.2413668458673,113,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,52,3388785810564520190,gateway_calibration,sweep:anomaly_pair:shared_scenarios,625.7572366535496,127,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,53,5503237878395346684,gateway_calibration,sweep:anomaly_pair:shared_scenarios,460.3936764914176,102,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,54,5415491490608218996,gateway_calibration,sweep:anomaly_pair:shared_scenarios,592.2821790131077,116,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,55,26760604161946009,gateway_calibration,sweep:anomaly_pair:shared_scenarios,530.3000913471994,99,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,56,6830352398876445275,gateway_calibration,sweep:anomaly_pair:shared_scenarios,612.6684016687407,113,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,57,1406415348362794825,gateway_calibration,sweep:anomaly_pair:shared_scenarios,643.7236449956481,127,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,58,7701508260034706105,gateway_calibration,sweep:anomaly_pair:shared_scenarios,517.394742954731,111,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,59,2711167823261115708,gateway_calibration,sweep:anomaly_pair:shared_scenarios,713.5270413168915,135,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,60,3144340299977682071,gateway_calibration,sweep:anomaly_pair:shared_scenarios,787.483908409989,115,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,61,6563400931778538780,gateway_calibration,sweep:anomaly_pair:shared_scenarios,703.662303498901,109,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
