strategy,state_h1,trial_index,scenario_seed,seed_phase,seed_namespace,gateway_threshold,detected,pre_onset_alarm,detection_time,first_alarm_time,transmissions,max_gateway_evidence,a1,a2,eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2
EIR,0,0,1047713344001866286,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,106,576.524635656089,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,1,7555151126145997115,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,127,652.2431190112143,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,2,1259687356397792456,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,122,643.2724381616285,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,3,1430804082914897170,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,129,698.3356376660386,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,4,7454177810187104479,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,133,678.3397731121833,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,5,5937828939846575505,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,284.0,132,857.8447692824996,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,6,7014685984281757939,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,98,516.3030623322912,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,7,6146347236995693084,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,115,622.1387913219503,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,8,9202743307007165935,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,141,730.9231587597975,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,9,6480102099986476489,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,121,532.4231867927997,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,10,3097537339600166127,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,117,603.0427331313662,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,11,976092875380358595,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,119,576.0686567609754,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,12,7113629430278804422,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,141,618.1771621660931,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,13,1250214591025988146,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,145,714.1753552400027,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,14,8771431426918446343,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,269.0,138,805.8292528139507,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,15,8336122129266868585,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,121,678.623633081967,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,16,1138674471197130907,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,129,778.2873278308309,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,17,3955141780509455750,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,122,665.1172030468649,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,18,8350857887474192520,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,137,747.9067751825208,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,19,3002262256370000482,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,136,767.5416350717334,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,20,7737614502291113857,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,112,702.8246928246214,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,21,1159499525955130656,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,127,657.7439152015323,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,22,6722249182019602760,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,273.0,132,832.8602390312456,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,23,3889498521170790532,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,145,715.8359538392843,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,24,8178258924638951141,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,119,708.2651245326657,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,25,1580841551219905768,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,120,532.130305171241,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,26,1120198998263096076,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,118,706.7521749472057,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,27,1744574337250120823,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,116,568.619893411837,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,28,7048602670693853505,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,119,518.2939071910167,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,29,8081939220026944230,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,103,596.3068237891011,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,30,3435175612167908758,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,145,697.4103738122337,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,31,7359376119878297463,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,121,664.6932158123782,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,32,4016942084940580155,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,127,692.5296481355176,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,33,1269542010092226535,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,145,661.6381222389583,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,34,3577121767678550724,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,121,715.1484267462954,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,35,2279726789233576752,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,121,581.0834857496078,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,36,2067295659130634531,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,229.0,130,844.2601693488209,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,37,2783174527500844120,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,122,597.8315201428455,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,38,6999284181578280971,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,125,523.8235937338436,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,39,2721030498397497206,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,129,719.0421787493332,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,40,4370146849211159193,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,132,753.1387467051055,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,41,100931594992729856,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,109,636.1302491677468,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,42,9122411650296708094,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,123,604.532041809473,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,43,8807961794672273694,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,115,584.826701090658,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,44,4039465025297310671,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,124,745.4871041316286,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,45,1303065415136621520,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,115,506.54083676285916,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,46,5529452567520039289,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,109,521.8924594426754,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,47,3398373731648388441,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,127,726.2337718325708,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,48,8200444180592309156,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,130,687.4336992528689,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,49,5621496965372644875,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,121,652.3899937678102,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,50,327914488649627036,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,97,597.7818661902269,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,51,7432708170281275218,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,129,648.93693130785,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,52,3802370265261614175,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,135,673.2509202288815,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,53,4038171143014284082,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,130,704.7650528910341,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,54,3336529761683344824,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,114,606.9098354179521,0.03,0.012,0.84,0.02,0.01,0.75
