parameter,value,num_configurations,pfa_feasible_fraction,robust_success_fraction,mean_eir_P_D,min_eir_P_D,max_eir_P_D,mean_delta_P_D_vs_RR,mean_delta_P_D_vs_TR,mean_delta_C_H1_vs_RR,mean_delta_C_H1_vs_TR
eir_gate_quantile,0.84,18,0.6666666666666666,0.6666666666666666,0.7461728395061727,0.7222222222222223,0.7733333333333334,0.0683950617283951,0.208395061728395,181.64197530864283,506.08641975308626
eir_gate_quantile,0.85,18,1.0,1.0,0.7143209876543211,0.7044444444444444,0.7266666666666666,0.03654320987654325,0.17654320987654315,464.49382716049433,788.9382716049378
eir_gate_quantile,0.86,18,0.05555555555555555,0.05555555555555555,0.7450617283950617,0.7355555555555555,0.7555555555555555,0.06728395061728396,0.20728395061728386,255.95061728395135,580.3950617283948
hysteresis_margin_eir,0.02,18,0.6666666666666666,0.6666666666666666,0.7338271604938271,0.7044444444444444,0.7555555555555555,0.056049382716049395,0.1960493827160493,342.0000000000007,666.4444444444441
hysteresis_margin_eir,0.03,18,0.5,0.5,0.7365432098765432,0.708888888888889,0.7733333333333334,0.058765432098765474,0.19876543209876535,277.5555555555563,601.9999999999997
hysteresis_margin_eir,0.04,18,0.5555555555555556,0.5555555555555556,0.7351851851851852,0.708888888888889,0.7733333333333334,0.05740740740740745,0.19740740740740734,282.5308641975315,606.975308641975
gate_hysteresis_margin,0.01,18,0.5555555555555556,0.5555555555555556,0.7393827160493828,0.7133333333333333,0.7733333333333334,0.06160493827160497,0.20160493827160486,288.90123456790184,613.3456790123453
gate_hysteresis_margin,0.02,18,0.5555555555555556,0.5555555555555556,0.7338271604938271,0.7066666666666667,0.7688888888888888,0.05604938271604941,0.19604938271604933,304.5432098765438,628.9876543209872
gate_hysteresis_margin,0.03,18,0.6111111111111112,0.6111111111111112,0.7323456790123457,0.7044444444444444,0.7666666666666666,0.054567901234567937,0.19456790123456782,308.6419753086428,633.0864197530863
w2,0.75,27,0.7037037037037037,0.7037037037037037,0.7334156378600823,0.7133333333333333,0.7555555555555555,0.05563786008230454,0.1956378600823045,381.50617283950675,705.9506172839502
w2,0.9,27,0.4444444444444444,0.4444444444444444,0.7369547325102883,0.7044444444444444,0.7733333333333334,0.05917695473251033,0.19917695473251024,219.88477366255225,544.3292181069957
