eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2,focus_max_a1,num_focus_points,eir_mean_P_D,eir_mean_P_FA,eir_mean_C_H1,eir_mean_delay,tr_mean_P_D,tr_mean_P_FA,tr_mean_C_H1,tr_mean_delay,rr_mean_P_D,rr_mean_P_FA,rr_mean_C_H1,rr_mean_delay,delta_P_D_vs_TR,delta_C_H1_vs_TR,delta_delay_vs_TR,delta_P_D_vs_RR,delta_C_H1_vs_RR,delta_delay_vs_RR,traffic_penalty_vs_TR,delay_penalty_vs_TR,target_P_FA,pfa_abs_deviation,soft_rank,pfa_tolerance,pfa_feasible,detection_gain_vs_both,relative_C_H1_vs_RR,max_relative_traffic_overhead_vs_RR,traffic_competitive_vs_RR,robust_success,robust_rank
0.84,0.02,0.01,0.9,0.1,3,0.7533333333333333,0.0733333333333333,13098.444444444443,177.38855297157622,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2155555555555555,495.33333333333394,-13.208806274436768,0.0755555555555556,170.8888888888905,0.5997252176478014,495.33333333333394,0.0,0.05,0.0233333333333333,8,0.03,True,True,0.013218963798260264,0.05,True,True,1
0.86,0.04,0.03,0.75,0.1,3,0.7488888888888888,0.08,13201.555555555557,178.6673813860699,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.211111111111111,598.4444444444453,-11.92997785994308,0.0711111111111111,274.0000000000018,1.8785536321414893,598.4444444444453,0.0,0.05,0.03,13,0.03,True,True,0.021195035582906474,0.05,True,True,2
0.84,0.02,0.02,0.9,0.1,3,0.7466666666666667,0.0733333333333333,13124.444444444443,177.91784123563218,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2088888888888889,521.3333333333339,-12.679518010380804,0.068888888888889,196.8888888888905,1.1290134817037654,521.3333333333339,0.0,0.05,0.0233333333333333,17,0.03,True,True,0.015230171554302396,0.05,True,True,3
0.84,0.02,0.03,0.9,0.1,3,0.7444444444444445,0.0733333333333333,13153.777777777776,179.05352339181286,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2066666666666666,550.6666666666642,-11.543835854200124,0.0666666666666667,226.2222222222208,2.264695637884444,550.6666666666642,0.0,0.05,0.0233333333333333,18,0.03,True,True,0.017499226458555173,0.05,True,True,4
0.84,0.02,0.01,0.75,0.1,3,0.7377777777777778,0.0666666666666666,13302.666666666666,177.97440972222225,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1999999999999999,699.5555555555547,-12.622949523790735,0.06,375.1111111111113,1.1855819682938318,699.5555555555547,0.0,0.05,0.0166666666666666,22,0.03,True,True,0.029016399078626076,0.05,True,True,5
0.84,0.03,0.01,0.75,0.1,3,0.7377777777777778,0.0666666666666666,13303.333333333334,179.21560645828364,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1999999999999999,700.2222222222226,-11.38175278772934,0.06,375.7777777777792,2.426778704355229,700.2222222222226,0.0,0.05,0.0166666666666666,23,0.03,True,True,0.029067968508268205,0.05,True,True,6
0.84,0.04,0.01,0.75,0.1,3,0.7355555555555555,0.0666666666666666,13307.77777777778,179.2357033148634,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1977777777777777,704.6666666666679,-11.361655931149585,0.0577777777777778,380.2222222222245,2.446875560934984,704.6666666666679,0.0,0.05,0.0166666666666666,28,0.03,True,True,0.02941176470588247,0.05,True,True,7
0.84,0.02,0.02,0.75,0.1,3,0.7311111111111112,0.06,13321.11111111111,178.22047580590888,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1933333333333333,717.9999999999982,-12.376883440104107,0.0533333333333334,393.5555555555548,1.43164805198046,717.9999999999982,0.0,0.05,0.0099999999999999,31,0.03,True,True,0.03044315329872438,0.05,True,True,8
0.84,0.03,0.02,0.75,0.1,3,0.7288888888888888,0.0533333333333333,13343.11111111111,179.94168458781365,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.191111111111111,739.9999999999982,-10.65567465819936,0.0511111111111111,415.5555555555548,3.1528568338852097,739.9999999999982,0.0,0.05,0.0033333333333333,32,0.03,True,True,0.03214494447691396,0.05,True,True,9
0.84,0.02,0.03,0.75,0.1,3,0.7266666666666667,0.06,13323.111111111111,178.63868376068376,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1888888888888888,720.0,-11.958675485329223,0.0488888888888889,395.55555555555657,1.8498560067553456,720.0,0.0,0.05,0.0099999999999999,33,0.03,True,True,0.030597861587650765,0.05,True,True,10
