strategy,n_H0,n_H1,n_detected_H1,P_D,P_pre_onset_alarm,P_FA,P_D_ci_low,P_D_ci_high,P_pre_onset_alarm_ci_low,P_pre_onset_alarm_ci_high,P_FA_ci_low,P_FA_ci_high,C_total_molecules_avg,C_total_molecules_avg_ci_low,C_total_molecules_avg_ci_high,C_H0_molecules_avg,C_H0_molecules_avg_ci_low,C_H0_molecules_avg_ci_high,C_H1_molecules_avg,C_H1_molecules_avg_ci_low,C_H1_molecules_avg_ci_high,R_H1_molecules_per_s,R_H1_molecules_per_s_ci_low,R_H1_molecules_per_s_ci_high,D_avg_after_onset,D_avg_after_onset_ci_low,D_avg_after_onset_ci_high,scaling_mode,scaling_point_index,L,num_nodes,node_density_per_um,anomaly_x
EIR,300,300,300,1.0,0.0,0.05333333333333334,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.03309191251909647,0.08486914177483132,5505.333333333333,5421.514455957367,5589.152210709299,4890.333333333333,4812.355984892182,4968.310681774484,6120.333333333333,6009.20138430955,6231.465282357116,67.65925410028225,66.4293172222944,68.88919097827011,92.05,90.12802755881157,93.97197244118843,fixed_segment_increasing_density,0,1000.0,20,0.02,750.0
RR,300,300,300,1.0,0.0,0.03333333333333333,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.01820494733885481,0.06026182580405482,5119.666666666667,5052.084901237526,5187.248432095808,5044.666666666667,4961.054955131775,5128.278378201559,5194.666666666667,5089.005530279886,5300.3278030534475,70.87608583492288,69.49658944585096,72.2555822239948,75.41,73.29440769991442,77.52559230008558,fixed_segment_increasing_density,0,1000.0,20,0.02,750.0
TR,300,300,300,1.0,0.0,0.04666666666666667,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.027998933682334012,0.07679736022792105,4769.166666666667,4699.613624616545,4838.719708716789,4568.0,4492.378402540258,4643.621597459742,4970.333333333333,4857.975004259577,5082.691662407089,58.4515290165346,57.16346600716686,59.73959202590234,88.23,85.51950468447146,90.94049531552855,fixed_segment_increasing_density,0,1000.0,20,0.02,750.0
EIR,300,300,300,1.0,0.0,0.06,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.038286369524692054,0.09283944515290843,12350.166666666666,12246.385064612592,12453.94826872074,12296.333333333334,12174.14093410254,12418.525732564129,12404.0,12236.223125427041,12571.776874572959,175.90480883254065,173.89464131697534,177.91497634810597,70.92333333333333,69.91844746163255,71.92821920503411,fixed_segment_increasing_density,1,1000.0,50,0.05,750.0
RR,300,300,300,1.0,0.0,0.05333333333333334,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.03309191251909647,0.08486914177483132,11399.166666666666,11267.588753832366,11530.744579500966,12549.333333333334,12430.181672883758,12668.48499378291,10249.0,10103.474440751914,10394.525559248086,185.92144464596285,183.21504668350184,188.62784260842386,55.99,54.88990539795553,57.09009460204447,fixed_segment_increasing_density,1,1000.0,50,0.05,750.0
TR,300,300,300,1.0,0.0,0.04666666666666667,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.027998933682334012,0.07679736022792105,10481.0,10361.679522747023,10600.320477252977,11421.0,11309.850377277195,11532.149622722805,9541.0,9392.723012755514,9689.276987244486,150.44995256432156,148.16258414122078,152.73732098742235,64.66,63.203033424799834,66.11696657520015,fixed_segment_increasing_density,1,1000.0,50,0.05,750.0
EIR,300,300,300,1.0,0.0,0.05333333333333334,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.03309191251909647,0.08486914177483132,24018.166666666668,23870.46983045316,24165.863502880176,24715.666666666668,24557.588843214813,24873.744490118523,23320.666666666668,23097.252751500786,23544.08058183255,355.4707956321174,352.47997060365975,358.4616206605751,65.82333333333334,65.14049376479466,66.50617290187202,fixed_segment_increasing_density,2,1000.0,100,0.1,750.0
RR,300,300,300,1.0,0.0,0.07,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.046236944827176336,0.10463601042593323,21890.166666666668,21580.297227374547,22200.03610595879,25411.333333333332,25234.680449594158,25587.986217072506,18369.0,18182.117071804365,18555.882928195635,374.4081389971289,370.6552325040768,378.161045490181,49.36666666666667,48.74001147245234,49.993321860881,fixed_segment_increasing_density,2,1000.0,100,0.1,750.0
TR,300,300,300,1.0,0.0,0.056666666666666664,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.03567747646328951,0.08886595802247463,19759.333333333332,19473.84915352691,20044.817513139755,22933.0,22756.919953193352,23109.080046806648,16585.666666666668,16393.9953466238,16777.337986709535,309.1703723906928,305.79305993155043,312.5476848498352,54.17,53.296896163853894,55.04310383614611,fixed_segment_increasing_density,2,1000.0,100,0.1,750.0
EIR,300,300,300,1.0,0.0,0.056666666666666664,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.03567747646328951,0.08886595802247463,46767.0,46486.557097553195,47047.442902446805,49344.333333333336,49099.44467404918,49589.221992617495,44189.666666666664,43899.041158906744,44480.292174426584,723.6548881380199,719.2870916139682,728.0226846620717,61.17666666666667,60.728901069787426,61.62443226354591,fixed_segment_increasing_density,3,1000.0,200,0.2,750.0
