sensitivity_parameter,sensitivity_value,a1,a2,RR_P_D,RR_P_FA,RR_C_H1_molecules_avg,RR_D_avg_after_onset,TR_P_D,TR_P_FA,TR_C_H1_molecules_avg,TR_D_avg_after_onset,EIR_P_D,EIR_P_FA,EIR_C_H1_molecules_avg,EIR_D_avg_after_onset,EIR_delta_P_D_vs_RR,EIR_delta_P_D_vs_TR,EIR_delta_C_H1_vs_RR,EIR_delta_C_H1_vs_TR,EIR_relative_C_H1_vs_RR,EIR_relative_C_H1_vs_TR
gateway_integration_tau,10.0,0.03,0.012,0.18,0.06,14103.0,198.46296296296296,0.17,0.0566666666666666,12615.666666666666,196.07843137254903,0.3166666666666666,0.0833333333333333,13831.333333333334,204.7894736842105,0.1366666666666666,0.14666666666666658,-271.66666666666606,1215.6666666666679,-0.01926304096055209,0.09636166671070368
gateway_integration_tau,10.0,0.06,0.024,0.5866666666666667,0.06,14704.0,195.60795454545453,0.4033333333333333,0.0566666666666666,13440.333333333334,193.4214876033058,0.73,0.0833333333333333,14458.0,193.90867579908675,0.1433333333333333,0.32666666666666666,-246.0,1017.6666666666661,-0.016730141458106584,0.0757173681208303
gateway_integration_tau,20.0,0.03,0.012,0.2366666666666666,0.07,14015.0,207.9718309859155,0.2133333333333333,0.06,12587.333333333334,207.6875,0.3466666666666667,0.0833333333333333,13802.0,209.2596153846154,0.11000000000000007,0.1333333333333334,-213.0,1214.666666666666,-0.01519800214056366,0.09649912610560873
gateway_integration_tau,20.0,0.06,0.024,0.7266666666666667,0.07,13793.0,188.57798165137612,0.5166666666666667,0.06,13041.333333333334,195.44516129032257,0.8466666666666667,0.0833333333333333,13812.333333333334,192.17322834645668,0.12,0.32999999999999996,19.33333333333394,771.0,0.001401677179245553,0.059119721909825174
gateway_integration_tau,40.0,0.03,0.012,0.2833333333333333,0.0566666666666666,14001.666666666666,217.31764705882352,0.24,0.06,12594.666666666666,216.25,0.4033333333333333,0.1033333333333333,13819.333333333334,218.83471074380165,0.12,0.16333333333333333,-182.33333333333212,1224.6666666666679,-0.013022259254850566,0.09723692568282871
gateway_integration_tau,40.0,0.06,0.024,0.8,0.0566666666666666,13718.666666666666,194.4375,0.6333333333333333,0.06,12857.666666666666,203.16315789473688,0.9033333333333332,0.1033333333333333,13522.333333333334,191.78966789667896,0.10333333333333317,0.2699999999999999,-196.33333333333212,664.6666666666679,-0.014311400524832263,0.05169419023669408
diffusion_coeff,1500.0,0.03,0.012,0.2333333333333333,0.0766666666666666,14120.666666666666,215.5857142857143,0.1733333333333333,0.0633333333333333,12720.666666666666,212.48076923076923,0.24,0.0833333333333333,14236.333333333334,217.70833333333331,0.006666666666666682,0.06666666666666668,115.66666666666788,1515.6666666666679,0.008191303526745797,0.11914993973062216
diffusion_coeff,1500.0,0.06,0.024,0.5666666666666667,0.0766666666666666,15119.666666666666,205.5,0.4,0.0633333333333333,13781.666666666666,210.46666666666667,0.63,0.0833333333333333,15480.666666666666,209.9206349206349,0.06333333333333335,0.22999999999999998,361.0,1699.0,0.02387618774664335,0.12327971943403071
diffusion_coeff,3000.0,0.03,0.012,0.2366666666666666,0.07,14015.0,207.9718309859155,0.2133333333333333,0.06,12587.333333333334,207.6875,0.3466666666666667,0.0833333333333333,13802.0,209.2596153846154,0.11000000000000007,0.1333333333333334,-213.0,1214.666666666666,-0.01519800214056366,0.09649912610560873
diffusion_coeff,3000.0,0.06,0.024,0.7266666666666667,0.07,13793.0,188.57798165137612,0.5166666666666667,0.06,13041.333333333334,195.44516129032257,0.8466666666666667,0.0833333333333333,13812.333333333334,192.17322834645668,0.12,0.32999999999999996,19.33333333333394,771.0,0.001401677179245553,0.059119721909825174
