strategy,n_H0,n_H1,n_detected_H1,P_D,P_pre_onset_alarm,P_FA,P_D_ci_low,P_D_ci_high,P_pre_onset_alarm_ci_low,P_pre_onset_alarm_ci_high,P_FA_ci_low,P_FA_ci_high,C_total_molecules_avg,C_total_molecules_avg_ci_low,C_total_molecules_avg_ci_high,C_H0_molecules_avg,C_H0_molecules_avg_ci_low,C_H0_molecules_avg_ci_high,C_H1_molecules_avg,C_H1_molecules_avg_ci_low,C_H1_molecules_avg_ci_high,R_H1_molecules_per_s,R_H1_molecules_per_s_ci_low,R_H1_molecules_per_s_ci_high,D_avg_after_onset,D_avg_after_onset_ci_low,D_avg_after_onset_ci_high,a1,a2,sensitivity_parameter,sensitivity_value
EIR,300,300,72,0.24,0.0,0.08333333333333333,0.19515315695222746,0.29142118808453643,0.0,0.012642971224546036,0.057080874056394275,0.12012160196406074,13317.333333333334,13183.850068684489,13450.816597982179,12398.333333333334,12271.957205379216,12524.709461287452,14236.333333333334,14052.708521631577,14419.95814503509,60.79117296152814,59.52799671768384,62.05434920537244,217.70833333333334,207.5997943485808,227.8168723180859,0.03,0.012,diffusion_coeff,1500.0
RR,300,300,70,0.23333333333333334,0.0,0.07666666666666666,0.18902823823172718,0.28438134642136403,0.0,0.012642971224546036,0.051627611786607464,0.1124101038501748,13406.833333333334,13288.541231815263,13525.125434851405,12693.0,12575.032145247445,12810.967854752555,14120.666666666666,13950.20850849334,14291.124824839992,60.036106490508814,58.69488489183235,61.377328089185276,215.5857142857143,206.39297174816082,224.77845682326776,0.03,0.012,diffusion_coeff,1500.0
TR,300,300,52,0.17333333333333334,0.0,0.06333333333333334,0.13470060049746765,0.22022614070256905,0.0,0.012642971224546036,0.040916882383915276,0.09679131248552161,12135.0,12026.956360404165,12243.043639595835,11549.333333333334,11429.736821072192,11668.929845594475,12720.666666666666,12566.865445930885,12874.467887402447,54.83994246798533,53.28434118466435,56.39554375130631,212.48076923076923,201.03388801413018,223.92765044740827,0.03,0.012,diffusion_coeff,1500.0
EIR,300,300,189,0.63,0.0,0.08333333333333333,0.5740445552913591,0.6826682721902588,0.0,0.012642971224546036,0.057080874056394275,0.12012160196406074,13939.5,13744.240276507815,14134.759723492185,12398.333333333334,12271.957205379216,12524.709461287452,15480.666666666666,15205.424925465764,15755.908407867568,69.73910972568876,68.89515938126337,70.58306007011416,209.9206349206349,204.4290045406178,215.41226530065202,0.06,0.024,diffusion_coeff,1500.0
RR,300,300,170,0.5666666666666667,0.0,0.07666666666666666,0.5100989219821965,0.6215486818545306,0.0,0.012642971224546036,0.051627611786607464,0.1124101038501748,13906.333333333334,13728.76687603956,14083.899790627107,12693.0,12575.032145247445,12810.967854752555,15119.666666666666,14846.56281893778,15392.770514395552,69.19274871603105,68.05648995956892,70.32900747249317,205.5,198.95711060645226,212.04288939354774,0.06,0.024,diffusion_coeff,1500.0
TR,300,300,120,0.4,0.0,0.06333333333333334,0.3461651905860969,0.4563634036588123,0.0,0.012642971224546036,0.040916882383915276,0.09679131248552161,12665.5,12512.528233624666,12818.471766375334,11549.333333333334,11429.736821072192,11668.929845594475,13781.666666666666,13563.85339082709,13999.479942506243,60.54177132930958,59.4663345299383,61.617208128680865,210.46666666666667,202.86602183947045,218.0673114938629,0.06,0.024,diffusion_coeff,1500.0
EIR,300,300,104,0.3466666666666667,0.0,0.08333333333333333,0.2950585411049252,0.40215197007060216,0.0,0.012642971224546036,0.057080874056394275,0.12012160196406074,13100.166666666666,12968.2066825666,13232.126650766731,12398.333333333334,12271.957205379216,12524.709461287452,13802.0,13599.16378698062,14004.83621301938,61.079173148367246,60.060464320534386,62.09788197620011,209.2596153846154,200.97521513211507,217.5440156371157,0.03,0.012,diffusion_coeff,3000.0
RR,300,300,71,0.23666666666666666,0.0,0.07,0.19208870391653038,0.28790326092839713,0.0,0.012642971224546036,0.046236944827176336,0.10463601042593323,13354.0,13233.358079402793,13474.641920597207,12693.0,12575.032145247445,12810.967854752555,14015.0,13832.868229278538,14197.131770721462,61.32220351550002,59.3628299885502,63.28157704244984,207.9718309859155,197.38938596150496,218.55427601032602,0.03,0.012,diffusion_coeff,3000.0
TR,300,300,64,0.21333333333333335,0.0,0.06,0.1707525956382275,0.2631627078638455,0.0,0.012642971224546036,0.038286369524692054,0.09283944515290843,12068.333333333334,11957.492925628796,12179.173741037872,11549.333333333334,11429.736821072192,11668.929845594475,12587.333333333334,12420.001615765024,12754.665050901644,55.54214519394049,54.011970531589235,57.07231985629175,207.6875,195.98156379414837,219.39343620585163,0.03,0.012,diffusion_coeff,3000.0
EIR,300,300,254,0.8466666666666667,0.0,0.08333333333333333,0.8015339429418983,0.8830335970090831,0.0,0.012642971224546036,0.057080874056394275,0.12012160196406074,13105.333333333334,12940.036887755872,13270.629778910796,12398.333333333334,12271.957205379216,12524.709461287452,13812.333333333334,13528.326841195267,14096.339825471401,70.44115369211443,69.62154323314101,71.26076415108784,192.17322834645668,186.96169569470334,197.38476099821003,0.06,0.024,diffusion_coeff,3000.0
RR,300,300,218,0.7266666666666667,0.0,0.07,0.6736074258805683,0.7739944271643041,0.0,0.012642971224546036,0.046236944827176336,0.10463601042593323,13243.0,13080.205946828597,13405.794053171403,12693.0,12575.032145247445,12810.967854752555,13793.0,13502.318698509474,14083.681301490526,70.12686089037034,69.00243465028883,71.25128713045184,188.57798165137615,182.53063780754803,194.62532549520427,0.06,0.024,diffusion_coeff,3000.0
TR,300,300,155,0.5166666666666667,0.0,0.06,0.4602663137927717,0.5726455871664101,0.0,0.012642971224546036,0.038286369524692054,0.09283944515290843,12295.333333333334,12145.06396503354,12445.602701633128,11549.333333333334,11429.736821072192,11668.929845594475,13041.333333333334,12792.593789084342,13290.072877582326,61.12765420050097,60.09627491288502,62.15903348811692,195.44516129032257,188.36239323568574,202.5279293449594,0.06,0.024,diffusion_coeff,3000.0
EIR,300,300,126,0.42,0.0,0.09333333333333334,0.3655060253806384,0.4765168500152888,0.0,0.012642971224546036,0.06536421957889091,0.1315853970170732,12892.666666666666,12758.340164180769,13026.993169152563,12398.333333333334,12271.957205379216,12524.709461287452,13387.0,13163.292283887607,13610.707716112393,61.48095098118848,60.44574391663045,62.51615804574651,199.88888888888889,192.00453977874366,207.7732379990341,0.03,0.012,diffusion_coeff,6000.0
RR,300,300,87,0.29,0.0,0.06,0.24156454610318367,0.3437455018111255,0.0,0.012642971224546036,0.038286369524692054,0.09283944515290843,13157.333333333334,13024.994103338564,13289.672563328104,12693.0,12575.032145247445,12810.967854752555,13621.666666666666,13396.46596148474,13846.867371848592,63.09818177571434,61.07040710226039,65.12595644916829,192.24137931034483,181.00771911255163,203.47503950813802,0.03,0.012,diffusion_coeff,6000.0
TR,300,300,72,0.24,0.0,0.06333333333333334,0.19515315695222746,0.29142118808453643,0.0,0.012642971224546036,0.040916882383915276,0.09679131248552161,11963.0,11847.426511838401,12078.573488161599,11549.333333333334,11429.736821072192,11668.929845594475,12376.666666666666,12190.070982832289,12563.262350501043,56.686771853645645,55.14037182549543,58.23317188179586,194.75,183.19210217497348,206.30789782502652,0.03,0.012,diffusion_coeff,6000.0
EIR,300,300,283,0.9433333333333334,0.0,0.09333333333333334,0.9111340419775255,0.9643225235367104,0.0,0.012642971224546036,0.06536421957889091,0.1315853970170732,12137.0,11970.359003397498,12303.640996602502,12398.333333333334,12271.957205379216,12524.709461287452,11875.666666666666,11569.828735775032,12181.5045975583,71.92774108629575,70.9391503376812,72.91633183491031,165.90106007067138,160.3573873372031,171.44473280413965,0.06,0.024,diffusion_coeff,6000.0
RR,300,300,238,0.7933333333333333,0.0,0.06,0.743944983244025,0.8353044736375745,0.0,0.012642971224546036,0.038286369524692054,0.09283944515290843,12559.0,12388.052017141312,12729.947982858688,12693.0,12575.032145247445,12810.967854752555,12425.0,12104.515174415394,12745.484825584606,71.67551087224747,70.43519478491373,72.91582695958121,166.45378151260505,160.23489579567007,172.67266722954002,0.06,0.024,diffusion_coeff,6000.0
