strategy,n_H0,n_H1,n_detected_H1,P_D,P_pre_onset_alarm,P_FA,P_D_ci_low,P_D_ci_high,P_pre_onset_alarm_ci_low,P_pre_onset_alarm_ci_high,P_FA_ci_low,P_FA_ci_high,C_total_molecules_avg,C_total_molecules_avg_ci_low,C_total_molecules_avg_ci_high,C_H0_molecules_avg,C_H0_molecules_avg_ci_low,C_H0_molecules_avg_ci_high,C_H1_molecules_avg,C_H1_molecules_avg_ci_low,C_H1_molecules_avg_ci_high,R_H1_molecules_per_s,R_H1_molecules_per_s_ci_low,R_H1_molecules_per_s_ci_high,D_avg_after_onset,D_avg_after_onset_ci_low,D_avg_after_onset_ci_high,a1,a2,sensitivity_parameter,sensitivity_value
EIR,300,300,95,0.31666666666666665,0.0,0.08333333333333333,0.26662835068573615,0.37134073876326396,0.0,0.012642971224546036,0.057080874056394275,0.12012160196406074,13114.833333333334,12975.532232687243,13254.134433979425,12398.333333333334,12271.957205379216,12524.709461287452,13831.333333333334,13610.909275086382,14051.757391580286,61.340330825812636,60.16385022713528,62.516811424489994,204.78947368421052,195.19792004649784,214.3810273219232,0.03,0.012,gateway_integration_tau,10.0
RR,300,300,54,0.18,0.0,0.06,0.1406583026966649,0.2274331988870445,0.0,0.012642971224546036,0.038286369524692054,0.09283944515290843,13398.0,13270.182171449766,13525.817828550234,12693.0,12575.032145247445,12810.967854752555,14103.0,13906.095936918577,14299.904063081423,62.97286940216295,60.03796043046238,65.90777837386352,198.46296296296296,183.8254588015965,213.1004671243294,0.03,0.012,gateway_integration_tau,10.0
TR,300,300,51,0.17,0.0,0.056666666666666664,0.13173009843992434,0.21661426256827604,0.0,0.012642971224546036,0.03567747646328951,0.08886595802247463,12082.5,11964.202284426325,12200.797715573675,11549.333333333334,11429.736821072192,11668.929845594475,12615.666666666666,12430.023621606806,12801.309711726526,57.60394605209729,53.442391166536154,61.76550093765843,196.07843137254903,180.68144304300313,211.47541970209494,0.03,0.012,gateway_integration_tau,10.0
EIR,300,300,219,0.73,0.0,0.08333333333333333,0.6770882626256942,0.7770959706110145,0.0,0.012642971224546036,0.057080874056394275,0.12012160196406074,13428.166666666666,13239.931077804458,13616.402255528874,12398.333333333334,12271.957205379216,12524.709461287452,14458.0,14143.76246923519,14772.23753076481,70.82812063502547,69.91700582281489,71.73923544723606,193.90867579908675,188.01702581783556,199.80032578033794,0.06,0.024,gateway_integration_tau,10.0
RR,300,300,176,0.5866666666666667,0.0,0.06,0.5301906151568371,0.6409512698309082,0.0,0.012642971224546036,0.038286369524692054,0.09283944515290843,13698.5,13512.541698102468,13884.458301897532,12693.0,12575.032145247445,12810.967854752555,14704.0,14389.901209978363,15018.098790021637,70.15614781528096,68.81670903023439,71.49558660032753,195.60795454545453,188.27328485980715,202.94262423110192,0.06,0.024,gateway_integration_tau,10.0
TR,300,300,121,0.4033333333333333,0.0,0.056666666666666664,0.3493821700801514,0.459728804356594,0.0,0.012642971224546036,0.03567747646328951,0.08886595802247463,12494.833333333334,12329.509374402101,12660.157292264566,11549.333333333334,11429.736821072192,11668.929845594475,13440.333333333334,13171.564584584645,13709.102082082023,62.39454330447205,60.402033515966764,64.38705309297734,193.4214876033058,184.2040767852303,202.63889842138127,0.06,0.024,gateway_integration_tau,10.0
EIR,300,300,104,0.3466666666666667,0.0,0.08333333333333333,0.2950585411049252,0.40215197007060216,0.0,0.012642971224546036,0.057080874056394275,0.12012160196406074,13100.166666666666,12968.2066825666,13232.126650766731,12398.333333333334,12271.957205379216,12524.709461287452,13802.0,13599.16378698062,14004.83621301938,61.079173148367246,60.060464320534386,62.09788197620011,209.2596153846154,200.97521513211507,217.5440156371157,0.03,0.012,gateway_integration_tau,20.0
RR,300,300,71,0.23666666666666666,0.0,0.07,0.19208870391653038,0.28790326092839713,0.0,0.012642971224546036,0.046236944827176336,0.10463601042593323,13354.0,13233.358079402793,13474.641920597207,12693.0,12575.032145247445,12810.967854752555,14015.0,13832.868229278538,14197.131770721462,61.32220351550002,59.3628299885502,63.28157704244984,207.9718309859155,197.38938596150496,218.55427601032602,0.03,0.012,gateway_integration_tau,20.0
TR,300,300,64,0.21333333333333335,0.0,0.06,0.1707525956382275,0.2631627078638455,0.0,0.012642971224546036,0.038286369524692054,0.09283944515290843,12068.333333333334,11957.492925628796,12179.173741037872,11549.333333333334,11429.736821072192,11668.929845594475,12587.333333333334,12420.001615765024,12754.665050901644,55.54214519394049,54.011970531589235,57.07231985629175,207.6875,195.98156379414837,219.39343620585163,0.03,0.012,gateway_integration_tau,20.0
EIR,300,300,254,0.8466666666666667,0.0,0.08333333333333333,0.8015339429418983,0.8830335970090831,0.0,0.012642971224546036,0.057080874056394275,0.12012160196406074,13105.333333333334,12940.036887755872,13270.629778910796,12398.333333333334,12271.957205379216,12524.709461287452,13812.333333333334,13528.326841195267,14096.339825471401,70.44115369211443,69.62154323314101,71.26076415108784,192.17322834645668,186.96169569470334,197.38476099821003,0.06,0.024,gateway_integration_tau,20.0
RR,300,300,218,0.7266666666666667,0.0,0.07,0.6736074258805683,0.7739944271643041,0.0,0.012642971224546036,0.046236944827176336,0.10463601042593323,13243.0,13080.205946828597,13405.794053171403,12693.0,12575.032145247445,12810.967854752555,13793.0,13502.318698509474,14083.681301490526,70.12686089037034,69.00243465028883,71.25128713045184,188.57798165137615,182.53063780754803,194.62532549520427,0.06,0.024,gateway_integration_tau,20.0
TR,300,300,155,0.5166666666666667,0.0,0.06,0.4602663137927717,0.5726455871664101,0.0,0.012642971224546036,0.038286369524692054,0.09283944515290843,12295.333333333334,12145.06396503354,12445.602701633128,11549.333333333334,11429.736821072192,11668.929845594475,13041.333333333334,12792.593789084342,13290.072877582326,61.12765420050097,60.09627491288502,62.15903348811692,195.44516129032257,188.36239323568574,202.5279293449594,0.06,0.024,gateway_integration_tau,20.0
EIR,300,300,121,0.4033333333333333,0.0,0.10333333333333333,0.3493821700801514,0.459728804356594,0.0,0.012642971224546036,0.07375658473854114,0.142940172432932,13108.833333333334,12988.182873009158,13229.48379365751,12398.333333333334,12271.957205379216,12524.709461287452,13819.333333333334,13647.923627781965,13990.743038884702,60.332291176965114,59.45009133294756,61.21449102098267,218.83471074380165,212.34633035241887,225.32309113518443,0.03,0.012,gateway_integration_tau,40.0
RR,300,300,85,0.2833333333333333,0.0,0.056666666666666664,0.2353308526310286,0.33681443489960794,0.0,0.012642971224546036,0.03567747646328951,0.08886595802247463,13347.333333333334,13235.256937178741,13459.409729487927,12693.0,12575.032145247445,12810.967854752555,14001.666666666666,13842.25979537927,14161.073537954062,60.14087474861278,58.98694989677447,61.29479960045109,217.31764705882352,209.56840645462873,225.06688766301832,0.03,0.012,gateway_integration_tau,40.0
