strategy,state_h1,trial_index,scenario_seed,seed_phase,seed_namespace,gateway_threshold,detected,pre_onset_alarm,detection_time,first_alarm_time,transmissions,max_gateway_evidence,a1,a2,sensitivity_parameter,sensitivity_value
RR,0,0,1047713344001866286,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,124,346.49506408884946,0.03,0.012,gateway_integration_tau,10.0
RR,0,1,7555151126145997115,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,146,380.76706303454176,0.03,0.012,gateway_integration_tau,10.0
RR,0,2,1259687356397792456,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,122,390.7756116748039,0.03,0.012,gateway_integration_tau,10.0
RR,0,3,1430804082914897170,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,130,386.4463882922913,0.03,0.012,gateway_integration_tau,10.0
RR,0,4,7454177810187104479,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,84.0,145,483.5375652027587,0.03,0.012,gateway_integration_tau,10.0
RR,0,5,5937828939846575505,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,189.0,148,511.09340030188906,0.03,0.012,gateway_integration_tau,10.0
RR,0,6,7014685984281757939,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,115,401.70750589423676,0.03,0.012,gateway_integration_tau,10.0
RR,0,7,6146347236995693084,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,125,346.905058348851,0.03,0.012,gateway_integration_tau,10.0
RR,0,8,9202743307007165935,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,125,341.6340676995774,0.03,0.012,gateway_integration_tau,10.0
RR,0,9,6480102099986476489,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,107,339.46294366209383,0.03,0.012,gateway_integration_tau,10.0
RR,0,10,3097537339600166127,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,131,343.2262311315067,0.03,0.012,gateway_integration_tau,10.0
RR,0,11,976092875380358595,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,126,328.15297954473635,0.03,0.012,gateway_integration_tau,10.0
RR,0,12,7113629430278804422,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,137,353.97404875091394,0.03,0.012,gateway_integration_tau,10.0
RR,0,13,1250214591025988146,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,134,369.7311690472769,0.03,0.012,gateway_integration_tau,10.0
RR,0,14,8771431426918446343,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,122,348.5138667222496,0.03,0.012,gateway_integration_tau,10.0
RR,0,15,8336122129266868585,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,135,408.50518113445855,0.03,0.012,gateway_integration_tau,10.0
RR,0,16,1138674471197130907,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,123,428.32263510891346,0.03,0.012,gateway_integration_tau,10.0
RR,0,17,3955141780509455750,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,125,450.4365516142175,0.03,0.012,gateway_integration_tau,10.0
RR,0,18,8350857887474192520,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,143,413.8097839311973,0.03,0.012,gateway_integration_tau,10.0
RR,0,19,3002262256370000482,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,107,307.1564774475115,0.03,0.012,gateway_integration_tau,10.0
RR,0,20,7737614502291113857,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,118,346.07176831895805,0.03,0.012,gateway_integration_tau,10.0
RR,0,21,1159499525955130656,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,128,394.5985602206839,0.03,0.012,gateway_integration_tau,10.0
RR,0,22,6722249182019602760,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,122,415.04642694059135,0.03,0.012,gateway_integration_tau,10.0
RR,0,23,3889498521170790532,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,145,458.90846112331667,0.03,0.012,gateway_integration_tau,10.0
RR,0,24,8178258924638951141,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,125,389.77956558567536,0.03,0.012,gateway_integration_tau,10.0
RR,0,25,1580841551219905768,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,128,372.71114853192887,0.03,0.012,gateway_integration_tau,10.0
RR,0,26,1120198998263096076,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,127,372.6903479182946,0.03,0.012,gateway_integration_tau,10.0
RR,0,27,1744574337250120823,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,129,387.0896911882924,0.03,0.012,gateway_integration_tau,10.0
RR,0,28,7048602670693853505,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,127,301.75697507010034,0.03,0.012,gateway_integration_tau,10.0
RR,0,29,8081939220026944230,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,127,413.1593885457441,0.03,0.012,gateway_integration_tau,10.0
RR,0,30,3435175612167908758,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,124,358.0103955257122,0.03,0.012,gateway_integration_tau,10.0
RR,0,31,7359376119878297463,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,108,339.69651471681203,0.03,0.012,gateway_integration_tau,10.0
RR,0,32,4016942084940580155,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,120,353.5201175204041,0.03,0.012,gateway_integration_tau,10.0
RR,0,33,1269542010092226535,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,136,342.6763252065836,0.03,0.012,gateway_integration_tau,10.0
RR,0,34,3577121767678550724,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,127,366.5049663219316,0.03,0.012,gateway_integration_tau,10.0
RR,0,35,2279726789233576752,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,111,300.22364279308294,0.03,0.012,gateway_integration_tau,10.0
RR,0,36,2067295659130634531,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,222.0,133,506.1760031061088,0.03,0.012,gateway_integration_tau,10.0
RR,0,37,2783174527500844120,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,126,415.40967956990266,0.03,0.012,gateway_integration_tau,10.0
RR,0,38,6999284181578280971,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,148,363.57470618640315,0.03,0.012,gateway_integration_tau,10.0
RR,0,39,2721030498397497206,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,126,355.6117567775122,0.03,0.012,gateway_integration_tau,10.0
RR,0,40,4370146849211159193,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,128,376.6266581515215,0.03,0.012,gateway_integration_tau,10.0
RR,0,41,100931594992729856,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,109,332.8778986161059,0.03,0.012,gateway_integration_tau,10.0
RR,0,42,9122411650296708094,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,121,345.7430576584753,0.03,0.012,gateway_integration_tau,10.0
RR,0,43,8807961794672273694,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,133,420.8430003245231,0.03,0.012,gateway_integration_tau,10.0
RR,0,44,4039465025297310671,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,131,430.0980037544002,0.03,0.012,gateway_integration_tau,10.0
RR,0,45,1303065415136621520,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,121,347.2675213553867,0.03,0.012,gateway_integration_tau,10.0
RR,0,46,5529452567520039289,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,111,386.7692838961415,0.03,0.012,gateway_integration_tau,10.0
RR,0,47,3398373731648388441,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,122,394.35478186547897,0.03,0.012,gateway_integration_tau,10.0
RR,0,48,8200444180592309156,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,267.0,137,525.6584559366931,0.03,0.012,gateway_integration_tau,10.0
RR,0,49,5621496965372644875,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,109,403.3143029505284,0.03,0.012,gateway_integration_tau,10.0
RR,0,50,327914488649627036,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,129,435.6742386404878,0.03,0.012,gateway_integration_tau,10.0
RR,0,51,7432708170281275218,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,129,468.3457996392879,0.03,0.012,gateway_integration_tau,10.0
RR,0,52,3802370265261614175,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,273.0,144,523.3100669796265,0.03,0.012,gateway_integration_tau,10.0
RR,0,53,4038171143014284082,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,128,435.8410499933907,0.03,0.012,gateway_integration_tau,10.0
RR,0,54,3336529761683344824,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,106,298.65376342000974,0.03,0.012,gateway_integration_tau,10.0
RR,0,55,1760523074528716079,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,134,405.9595233743904,0.03,0.012,gateway_integration_tau,10.0
RR,0,56,7456372500045997966,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,293.0,137,471.3073113767545,0.03,0.012,gateway_integration_tau,10.0
RR,0,57,380633820391136789,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,140,349.2180320528419,0.03,0.012,gateway_integration_tau,10.0
RR,0,58,7723030530287328423,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,118,294.28814798925,0.03,0.012,gateway_integration_tau,10.0
RR,0,59,497544355896473532,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,131,455.8695168279044,0.03,0.012,gateway_integration_tau,10.0
RR,0,60,7845018259805258654,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,116,360.16199589309616,0.03,0.012,gateway_integration_tau,10.0
RR,0,61,5540219232902936081,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,127,366.86741129784195,0.03,0.012,gateway_integration_tau,10.0
RR,0,62,48725929166278989,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,133,413.29904118826164,0.03,0.012,gateway_integration_tau,10.0
RR,0,63,8475777184813767823,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,129,333.3854201808418,0.03,0.012,gateway_integration_tau,10.0
