strategy,n_H0,n_H1,n_detected_H1,P_D,P_pre_onset_alarm,P_FA,P_D_ci_low,P_D_ci_high,P_pre_onset_alarm_ci_low,P_pre_onset_alarm_ci_high,P_FA_ci_low,P_FA_ci_high,C_total_molecules_avg,C_total_molecules_avg_ci_low,C_total_molecules_avg_ci_high,C_H0_molecules_avg,C_H0_molecules_avg_ci_low,C_H0_molecules_avg_ci_high,C_H1_molecules_avg,C_H1_molecules_avg_ci_low,C_H1_molecules_avg_ci_high,R_H1_molecules_per_s,R_H1_molecules_per_s_ci_low,R_H1_molecules_per_s_ci_high,D_avg_after_onset,D_avg_after_onset_ci_low,D_avg_after_onset_ci_high,a1,a2,sensitivity_parameter,sensitivity_value
EIR,300,300,108,0.36,0.0,0.09666666666666666,0.30776933517318583,0.4157706967696869,0.0,0.012642971224546036,0.06815029481828931,0.13538170196951116,7334.333333333333,7241.184743513782,7427.481923152884,6861.666666666667,6764.326364221704,6959.00696911163,7807.0,7667.18282890328,7946.81717109672,36.81725724615563,35.7325056996243,37.902008792686956,203.14814814814815,193.28119703799814,213.01509925829816,0.03,0.012,local_send_prob_target,0.01
RR,300,300,74,0.24666666666666667,0.0,0.04,0.20129380271657715,0.2984453027038595,0.0,0.012642971224546036,0.023027321487942308,0.06860421203864003,7427.333333333333,7344.496445804162,7510.170220862504,7016.666666666667,6927.864817781416,7105.468515551918,7838.0,7714.410034171919,7961.589965828081,37.451508288498324,36.015444688082056,38.88757188891459,193.90540540540542,182.01218469081283,205.798626119998,0.03,0.012,local_send_prob_target,0.01
TR,300,300,61,0.20333333333333334,0.0,0.06,0.16167385164165787,0.25249431128490607,0.0,0.012642971224546036,0.038286369524692054,0.09283944515290843,6952.666666666667,6873.730352517883,7031.602980815451,6619.333333333333,6529.416933684397,6709.249732982269,7286.0,7167.57093042274,7404.42906957726,33.71035282241607,32.254865235641304,35.165840409190835,193.55737704918033,180.8038580779386,206.31089602042206,0.03,0.012,local_send_prob_target,0.01
EIR,300,300,235,0.7833333333333333,0.0,0.09666666666666666,0.7332901513759227,0.8262121649301679,0.0,0.012642971224546036,0.06815029481828931,0.13538170196951116,7532.833333333333,7414.813465776518,7650.853200890148,6861.666666666667,6764.326364221704,6959.00696911163,8204.0,8017.565211037027,8390.434788962972,42.93977098242421,42.14205989938704,43.73748206546137,187.331914893617,181.15238567539834,193.5114441118357,0.06,0.024,local_send_prob_target,0.01
RR,300,300,182,0.6066666666666667,0.0,0.04,0.5503752712846574,0.6602608948541061,0.0,0.012642971224546036,0.023027321487942308,0.06860421203864003,7670.0,7558.169720789668,7781.830279210332,7016.666666666667,6927.864817781416,7105.468515551918,8323.333333333334,8146.5453233508215,8500.121343315846,41.51746075929876,40.5639323219821,42.47098919661541,189.04395604395606,181.81954491485507,196.26836717305704,0.06,0.024,local_send_prob_target,0.01
TR,300,300,154,0.5133333333333333,0.0,0.06,0.4569640167618392,0.5693655040055061,0.0,0.012642971224546036,0.038286369524692054,0.09283944515290843,7162.833333333333,7059.0084224544335,7266.658244212233,6619.333333333333,6529.416933684397,6709.249732982269,7706.333333333333,7540.455731369996,7872.21093529667,38.05832060750218,37.09436897658629,39.022272238418076,187.08441558441558,179.04119493959055,195.1276362292406,0.06,0.024,local_send_prob_target,0.01
EIR,300,300,104,0.3466666666666667,0.0,0.08333333333333333,0.2950585411049252,0.40215197007060216,0.0,0.012642971224546036,0.057080874056394275,0.12012160196406074,13100.166666666666,12968.2066825666,13232.126650766731,12398.333333333334,12271.957205379216,12524.709461287452,13802.0,13599.16378698062,14004.83621301938,61.079173148367246,60.060464320534386,62.09788197620011,209.2596153846154,200.97521513211507,217.5440156371157,0.03,0.012,local_send_prob_target,0.02
RR,300,300,71,0.23666666666666666,0.0,0.07,0.19208870391653038,0.28790326092839713,0.0,0.012642971224546036,0.046236944827176336,0.10463601042593323,13354.0,13233.358079402793,13474.641920597207,12693.0,12575.032145247445,12810.967854752555,14015.0,13832.868229278538,14197.131770721462,61.32220351550002,59.3628299885502,63.28157704244984,207.9718309859155,197.38938596150496,218.55427601032602,0.03,0.012,local_send_prob_target,0.02
TR,300,300,64,0.21333333333333335,0.0,0.06,0.1707525956382275,0.2631627078638455,0.0,0.012642971224546036,0.038286369524692054,0.09283944515290843,12068.333333333334,11957.492925628796,12179.173741037872,11549.333333333334,11429.736821072192,11668.929845594475,12587.333333333334,12420.001615765024,12754.665050901644,55.54214519394049,54.011970531589235,57.07231985629175,207.6875,195.98156379414837,219.39343620585163,0.03,0.012,local_send_prob_target,0.02
EIR,300,300,254,0.8466666666666667,0.0,0.08333333333333333,0.8015339429418983,0.8830335970090831,0.0,0.012642971224546036,0.057080874056394275,0.12012160196406074,13105.333333333334,12940.036887755872,13270.629778910796,12398.333333333334,12271.957205379216,12524.709461287452,13812.333333333334,13528.326841195267,14096.339825471401,70.44115369211443,69.62154323314101,71.26076415108784,192.17322834645668,186.96169569470334,197.38476099821003,0.06,0.024,local_send_prob_target,0.02
RR,300,300,218,0.7266666666666667,0.0,0.07,0.6736074258805683,0.7739944271643041,0.0,0.012642971224546036,0.046236944827176336,0.10463601042593323,13243.0,13080.205946828597,13405.794053171403,12693.0,12575.032145247445,12810.967854752555,13793.0,13502.318698509474,14083.681301490526,70.12686089037034,69.00243465028883,71.25128713045184,188.57798165137615,182.53063780754803,194.62532549520427,0.06,0.024,local_send_prob_target,0.02
