strategy,P_D,P_pre_onset_alarm,P_FA,C_total_molecules_avg,C_H0_molecules_avg,C_H1_molecules_avg,R_H1_molecules_per_s,D_avg_after_onset,a1
EIR,0.0,0.02,0.06666666666666667,975.0,68.66666666666667,1881.3333333333333,,inf,0.15
RR,0.17333333333333334,0.05333333333333334,0.11333333333333333,2480.3333333333335,30.666666666666664,4930.0,28.071490399793163,149.0,0.15
TR,0.0,0.02666666666666667,0.04666666666666667,51.66666666666667,51.33333333333333,52.0,,inf,0.15
EIR,0.18,0.013333333333333334,0.06666666666666667,1363.0,68.66666666666667,2657.3333333333335,31.621094742338567,69.07407407407408,0.25
RR,0.17333333333333334,0.05333333333333334,0.11333333333333333,2486.6666666666665,30.666666666666664,4942.666666666667,28.12375348123245,149.0,0.25
TR,0.0,0.02666666666666667,0.04666666666666667,553.3333333333334,51.33333333333333,1055.3333333333333,,inf,0.25
EIR,0.7466666666666667,0.02,0.06666666666666667,1328.0,68.66666666666667,2587.3333333333335,36.52037749286671,66.09821428571429,0.35
RR,0.37333333333333335,0.09333333333333334,0.11333333333333333,2641.666666666667,30.666666666666664,5252.666666666666,34.22923731854938,141.26785714285714,0.35
TR,0.08,0.04,0.04666666666666667,4457.666666666667,51.33333333333333,8864.0,47.446649443245214,161.58333333333334,0.35
EIR,0.8333333333333334,0.04666666666666667,0.06666666666666667,1375.6666666666665,68.66666666666667,2682.666666666667,41.28609251579947,63.855999999999995,0.5
RR,0.9133333333333333,0.1,0.11333333333333333,1854.0,30.666666666666664,3677.3333333333335,45.566341829703724,78.97810218978103,0.5
TR,0.7,0.02,0.04666666666666667,3577.3333333333335,51.33333333333333,7103.333333333333,57.8528434851616,90.38095238095238,0.5
