strategy,P_D,P_pre_onset_alarm,P_FA,C_total_molecules_avg,C_H0_molecules_avg,C_H1_molecules_avg,R_H1_molecules_per_s,D_avg_after_onset,inference_delay
EIR,0.48,0.08666666666666667,0.06666666666666667,1329.6666666666667,68.66666666666667,2590.6666666666665,45.0445195682141,48.138888888888886,0.0
RR,0.24666666666666667,0.04666666666666667,0.11333333333333333,2477.0,30.666666666666664,4923.333333333333,28.248427361946973,150.8108108108108,0.0
TR,0.006666666666666667,0.02666666666666667,0.04666666666666667,2276.0,51.33333333333333,4500.666666666667,33.333333333333336,177.0,0.0
EIR,0.54,0.03333333333333333,0.06666666666666667,1326.0,68.66666666666667,2583.333333333333,38.09665277166035,58.29629629629629,10.0
RR,0.24666666666666667,0.04666666666666667,0.11333333333333333,2477.0,30.666666666666664,4923.333333333333,28.248427361946973,150.8108108108108,10.0
TR,0.006666666666666667,0.02666666666666667,0.04666666666666667,2276.0,51.33333333333333,4500.666666666667,33.333333333333336,177.0,10.0
EIR,0.5666666666666667,0.0,0.06666666666666667,1340.6666666666665,68.66666666666667,2612.6666666666665,33.114250294260415,74.36470588235294,30.0
RR,0.24666666666666667,0.04666666666666667,0.11333333333333333,2477.0,30.666666666666664,4923.333333333333,28.248427361946973,150.8108108108108,30.0
TR,0.006666666666666667,0.02666666666666667,0.04666666666666667,2276.0,51.33333333333333,4500.666666666667,33.333333333333336,177.0,30.0
EIR,0.58,0.0,0.06666666666666667,1431.6666666666667,68.66666666666667,2794.6666666666665,25.63976030626999,103.7471264367816,60.0
RR,0.24666666666666667,0.04666666666666667,0.11333333333333333,2477.0,30.666666666666664,4923.333333333333,28.248427361946973,150.8108108108108,60.0
TR,0.006666666666666667,0.02666666666666667,0.04666666666666667,2276.0,51.33333333333333,4500.666666666667,33.333333333333336,177.0,60.0
EIR,0.4666666666666667,0.0,0.06666666666666667,1465.6666666666665,68.66666666666667,2862.6666666666665,17.05648282285034,163.68571428571428,120.0
RR,0.24666666666666667,0.04666666666666667,0.11333333333333333,2477.0,30.666666666666664,4923.333333333333,28.248427361946973,150.8108108108108,120.0
TR,0.006666666666666667,0.02666666666666667,0.04666666666666667,2276.0,51.33333333333333,4500.666666666667,33.333333333333336,177.0,120.0
