strategy,P_D,P_pre_onset_alarm,P_FA,C_total_molecules_avg,C_H0_molecules_avg,C_H1_molecules_avg,R_H1_molecules_per_s,D_avg_after_onset,num_nodes
EIR,0.04,0.02,0.04666666666666667,618.6666666666666,26.666666666666668,1210.6666666666667,13.874925977678577,68.5,20
RR,0.006666666666666667,0.02666666666666667,0.02,1200.6666666666665,13.333333333333334,2388.0,23.10756972111554,251.0,20
TR,0.006666666666666667,0.06666666666666667,0.05333333333333334,1010.6666666666667,14.000000000000002,2007.3333333333335,18.32460732984293,191.0,20
EIR,0.35333333333333333,0.04,0.02666666666666667,1171.3333333333333,45.33333333333333,2297.3333333333335,27.62502950078336,68.22641509433963,40
RR,0.08,0.08666666666666667,0.08,2127.6666666666665,36.0,4219.333333333334,28.72650497259197,178.91666666666666,40
TR,0.0,0.04666666666666667,0.06,1800.6666666666667,38.0,3563.3333333333335,,inf,40
EIR,0.7333333333333333,0.07333333333333333,0.08666666666666667,1489.3333333333333,71.33333333333334,2907.3333333333335,40.167208803112196,68.3,60
RR,0.05333333333333334,0.05333333333333334,0.06666666666666667,3182.3333333333335,42.66666666666667,6322.0,40.17434121481199,127.625,60
TR,0.0,0.02,0.013333333333333334,2738.3333333333335,55.333333333333336,5421.333333333333,,inf,60
EIR,0.9933333333333333,0.05333333333333334,0.09333333333333334,2113.6666666666665,127.33333333333334,4100.0,66.27866676062922,64.84563758389261,100
RR,0.20666666666666667,0.04,0.10666666666666667,4955.666666666666,77.33333333333333,9834.0,56.01456429447219,140.06451612903226,100
TR,0.07333333333333333,0.05333333333333334,0.05333333333333334,4358.0,92.66666666666666,8623.333333333334,41.40813700508779,183.36363636363637,100
