strategy,P_D,P_pre_onset_alarm,P_FA,C_total_molecules_avg,C_H0_molecules_avg,C_H1_molecules_avg,R_H1_molecules_per_s,D_avg_after_onset,sigma1
EIR,0.9466666666666667,0.06666666666666667,0.06,1357.3333333333335,61.33333333333333,2653.3333333333335,41.96638786288203,63.50704225352112,0.08
RR,0.9933333333333333,0.08,0.11333333333333333,1410.3333333333333,30.666666666666664,2790.0,54.52802153238618,51.85234899328859,0.08
TR,0.9,0.04,0.04666666666666667,2013.0,51.33333333333333,3974.666666666667,65.15066584615676,52.0962962962963,0.08
EIR,0.8133333333333334,0.03333333333333333,0.06,1288.3333333333333,66.66666666666666,2510.0,37.689910921701326,65.26229508196721,0.12
RR,0.6333333333333333,0.1,0.11333333333333333,2439.666666666667,30.666666666666664,4848.666666666666,38.21247522829822,109.77894736842106,0.12
TR,0.15333333333333332,0.013333333333333334,0.04666666666666667,5063.0,51.33333333333333,10074.666666666668,51.67071927759515,129.34782608695653,0.12
EIR,0.4666666666666667,0.04,0.06666666666666667,1356.0,68.66666666666667,2643.3333333333335,33.783952254819006,68.07142857142857,0.16
RR,0.24666666666666667,0.04666666666666667,0.11333333333333333,2477.0,30.666666666666664,4923.333333333333,28.248427361946973,150.8108108108108,0.16
TR,0.006666666666666667,0.02666666666666667,0.04666666666666667,2276.0,51.33333333333333,4500.666666666667,33.333333333333336,177.0,0.16
EIR,0.24,0.02,0.06666666666666667,1382.6666666666665,70.0,2695.3333333333335,33.14756006261221,65.66666666666667,0.2
RR,0.17333333333333334,0.05333333333333334,0.11333333333333333,2485.0,30.666666666666664,4939.333333333333,28.12375348123245,149.0,0.2
TR,0.0,0.02666666666666667,0.04666666666666667,396.0,51.33333333333333,740.6666666666666,,inf,0.2
