strategy,state_h1,detected,pre_onset_alarm,detection_time,first_alarm_time,transmissions,max_gateway_evidence
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,2,13.278377142831408
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,7.0,2,23.81315510252386
RR,0,0,0,inf,inf,1,3.538639038710399
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,11.0,1,19.905397432334293
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,7.0,1,23.747497880130634
RR,0,0,0,inf,inf,1,7.87042133838888
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,1,2.864077617963975
RR,0,0,0,inf,inf,1,2.991272025987005
RR,0,0,0,inf,11.0,2,19.836949424814637
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,1,4.7985651401090825
RR,0,0,0,inf,inf,1,4.559909655531578
RR,0,0,0,inf,inf,1,10.107903231123702
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,8.0,1,22.369602702586135
RR,0,0,0,inf,6.0,1,24.328239334941536
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,1,3.0916958076156518
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,1,4.750534626656817
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,14.0,1,17.223291299178697
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,1,15.503567427791662
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,2,5.865566207551185
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,1,2.4338862652730207
RR,0,0,0,inf,6.0,1,24.218761553095675
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,5.0,1,25.27656619426419
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,1,15.586836764560239
RR,0,0,0,inf,11.0,1,20.233291018109036
RR,0,0,0,inf,inf,1,5.772269049888902
RR,0,0,0,inf,inf,1,10.168725980230532
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,1,12.63273667106764
